ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759018648.516729,149.366,arcade,0.781,62.930,7.786,0.825,0.002,0.000,0.005,0.000,63.907
1759018648.608240,88.366,arcade,1.012,68.620,4.694,0.454,0.004,0.000,0.008,0.000,3.512
1759018648.684758,75.007,arcade,0.805,61.369,3.603,0.325,0.001,0.000,0.003,0.000,1.217
1759018648.765778,80.440,arcade,1.135,63.276,4.275,0.279,0.001,0.000,0.003,0.000,3.333
1759018648.843324,77.508,arcade,0.836,61.601,3.679,0.370,0.001,0.000,0.003,0.000,3.159
1759018648.922729,78.110,arcade,0.977,62.347,3.961,0.295,0.001,0.000,0.003,0.000,2.996
1759018649.004771,81.035,arcade,0.913,63.644,3.338,0.399,0.002,0.000,0.003,0.000,4.812
1759018649.083588,78.689,arcade,1.016,65.020,3.233,0.425,0.002,0.000,0.003,0.000,1.156
1759018649.159969,75.761,arcade,1.517,61.151,4.161,0.423,0.001,0.000,0.003,0.000,1.150
1759018649.237751,77.142,arcade,0.915,61.019,3.052,0.339,0.002,0.000,0.002,0.000,3.988
1759018649.310653,72.946,arcade,0.790,59.166,4.052,0.349,0.001,0.000,0.002,0.000,1.112
1759018649.386925,76.172,arcade,0.923,62.428,3.751,0.368,0.001,0.000,0.003,0.000,1.199
1759018649.462426,74.346,arcade,0.929,60.658,3.381,0.389,0.001,0.000,0.003,0.000,1.248
1759018649.537871,75.348,arcade,1.205,61.390,3.346,0.359,0.001,0.000,0.003,0.000,1.136
1759018649.613887,75.547,arcade,0.920,61.749,3.711,0.317,0.001,0.000,0.003,0.000,1.235
1759018649.688346,73.976,arcade,0.957,59.901,3.815,0.437,0.002,0.000,0.004,0.000,1.450
1759018649.766270,77.822,arcade,0.917,63.975,3.727,0.370,0.002,0.000,0.003,0.000,1.323
1759018649.842290,75.173,arcade,0.984,61.462,3.363,0.407,0.001,0.000,0.003,0.000,1.299
1759018649.912763,71.133,arcade,0.956,58.347,3.041,0.358,0.002,0.000,0.002,0.000,1.099
1759018649.985001,70.723,arcade,0.907,57.687,3.326,0.263,0.001,0.000,0.002,0.000,1.258
1759018650.059984,75.003,arcade,0.988,61.115,3.247,0.583,0.001,0.000,0.003,0.000,1.201
1759018650.133035,72.409,arcade,0.920,58.802,3.315,0.327,0.004,0.000,0.003,0.000,1.186
1759018650.205576,72.435,arcade,0.986,58.808,3.308,0.275,0.001,0.000,0.002,0.000,1.351
1759018650.278623,72.379,arcade,0.940,59.065,3.430,0.286,0.001,0.000,0.003,0.000,1.116
1759018650.349775,70.459,arcade,0.876,57.598,3.445,0.262,0.001,0.000,0.002,0.000,1.086
1759018650.420406,70.877,arcade,0.873,57.370,3.577,0.446,0.001,0.000,0.002,0.000,1.181
1759018650.496374,75.082,arcade,0.914,60.773,3.225,0.314,0.001,0.000,0.003,0.000,1.889
1759018650.573168,75.932,arcade,0.852,61.640,3.410,0.322,0.433,0.000,0.003,0.000,1.117
1759018650.645974,72.356,arcade,1.023,59.181,3.203,0.274,0.121,0.000,0.003,0.000,0.910
1759018650.717830,71.475,arcade,0.879,58.265,3.607,0.266,0.108,0.000,0.003,0.000,1.095
1759018650.791513,72.982,arcade,0.868,59.749,3.299,0.277,0.188,0.000,0.003,0.000,1.176
1759018650.865870,74.549,arcade,0.952,60.941,3.202,0.294,0.117,0.000,0.003,0.000,1.506
1759018650.941528,74.687,arcade,0.990,61.027,3.885,0.255,0.111,0.000,0.002,0.000,0.379
1759018651.016326,74.178,arcade,0.938,61.668,3.568,0.291,0.118,0.000,0.004,0.000,0.422
1759018651.097145,80.482,arcade,0.968,65.697,4.085,0.294,0.126,0.000,0.004,0.000,1.426
1759018651.173795,75.736,arcade,0.956,61.774,3.496,0.297,0.121,0.000,0.003,0.000,1.262
1759018651.250761,76.829,arcade,1.049,63.603,3.205,0.380,0.145,0.000,0.003,0.000,0.417
1759018651.327318,75.413,arcade,0.968,61.867,4.423,0.320,0.120,0.000,0.003,0.000,0.434
1759018651.402070,74.701,arcade,0.889,61.317,3.523,0.356,0.266,0.000,0.004,0.000,0.456
1759018651.478807,76.217,arcade,1.712,61.597,3.453,0.274,0.214,0.000,0.003,0.000,1.241
1759018651.560241,80.741,arcade,0.937,62.482,3.258,0.282,0.202,0.000,0.003,0.000,5.780
1759018651.633556,72.666,arcade,0.814,60.126,3.187,0.282,0.202,0.000,0.003,0.000,0.431
1759018651.706682,72.671,arcade,0.992,59.022,3.609,0.554,0.233,0.000,0.005,0.000,0.581
1759018651.780396,72.559,arcade,1.066,58.619,3.402,0.364,0.207,0.000,0.003,0.000,1.202
1759018651.856061,74.934,arcade,0.985,61.139,3.279,0.317,0.212,0.000,0.003,0.000,1.400
1759018651.932289,76.268,arcade,0.945,63.177,3.742,0.358,0.215,0.000,0.004,0.000,0.417
1759018652.004643,71.540,arcade,0.947,58.577,3.496,0.393,0.221,0.000,0.004,0.000,0.432
1759018652.079958,75.400,arcade,1.111,61.960,3.364,0.276,0.214,0.000,0.003,0.000,0.407
1759018652.156203,75.312,arcade,0.973,62.301,3.355,0.287,0.405,0.000,0.003,0.000,0.516
1759018652.232609,76.464,arcade,0.922,61.053,3.442,0.317,0.315,0.000,0.003,0.000,0.444
1759018652.307159,74.054,arcade,1.043,60.447,3.468,0.321,0.299,0.000,0.003,0.000,0.414
1759018652.380093,72.368,arcade,0.915,58.905,3.738,0.363,0.290,0.000,0.003,0.000,0.433
1759018652.458749,77.899,arcade,0.972,63.592,3.798,0.350,0.283,0.000,0.004,0.000,1.184
1759018652.537691,78.466,arcade,0.916,61.248,3.666,0.814,0.463,0.000,0.003,0.000,3.908
1759018652.616343,77.826,arcade,0.832,64.265,3.703,0.558,0.580,0.000,0.004,0.000,0.418
1759018652.692052,75.327,arcade,0.909,61.366,3.385,0.360,0.286,0.000,0.003,0.000,1.402
1759018652.768307,75.405,arcade,0.960,61.881,3.622,0.379,0.316,0.000,0.004,0.000,0.430
1759018652.845243,76.256,arcade,0.998,62.815,3.579,0.252,0.304,0.000,0.003,0.000,0.388
1759018652.921664,76.003,arcade,1.036,62.408,3.963,0.278,0.306,0.000,0.003,0.000,0.434
1759018652.997623,75.607,arcade,1.006,61.969,3.680,0.293,0.303,0.000,0.003,0.000,0.442
1759018653.077384,79.433,arcade,1.047,65.332,3.798,0.353,0.405,0.000,0.003,0.000,0.442
1759018653.154481,76.380,arcade,0.957,63.589,3.286,0.276,0.373,0.000,0.003,0.000,0.415
1759018653.231902,77.332,arcade,1.158,63.323,3.381,0.348,0.404,0.000,0.003,0.000,0.454
1759018653.312191,79.578,arcade,1.012,64.134,3.773,0.515,0.399,0.000,0.003,0.000,1.266
1759018653.384948,72.715,arcade,0.943,58.833,3.946,0.377,0.378,0.000,0.004,0.000,0.418
1759018653.459863,74.253,arcade,0.940,60.600,4.082,0.375,0.379,0.000,0.005,0.000,0.451
1759018653.538288,77.709,arcade,0.986,60.832,3.301,0.424,0.376,0.000,0.004,0.000,4.273
1759018653.615040,76.042,arcade,1.057,61.653,3.376,0.377,0.411,0.000,0.003,0.000,1.294
1759018653.694740,79.374,arcade,1.773,64.404,3.751,0.435,0.378,0.000,0.003,0.000,1.215
1759018653.772579,77.043,arcade,0.960,62.522,3.553,0.291,0.402,0.000,0.003,0.000,1.254
1759018653.852925,80.039,arcade,0.937,65.241,4.672,0.476,0.446,0.000,0.006,0.000,0.548
1759018653.931257,77.882,arcade,1.149,63.050,3.176,0.270,0.481,0.000,0.003,0.000,1.195
1759018654.004771,72.802,arcade,0.943,59.377,3.523,0.363,0.481,0.000,0.003,0.000,0.615
1759018654.080146,75.062,arcade,1.052,60.510,3.636,0.320,0.475,0.000,0.004,0.000,1.368
1759018654.152371,71.700,arcade,0.931,58.407,3.454,0.359,0.469,0.000,0.004,0.000,0.414
1759018654.226864,74.449,arcade,0.961,60.045,3.466,0.575,0.483,0.000,0.003,0.000,1.112
1759018654.303658,75.530,arcade,0.915,61.444,4.202,0.307,0.423,0.000,0.004,0.000,0.423
1759018654.377015,72.626,arcade,0.950,59.212,3.353,0.583,0.519,0.000,0.003,0.000,0.450
1759018654.451847,75.149,arcade,0.988,61.310,3.150,0.356,0.453,0.000,0.003,0.000,1.225
1759018654.529518,77.220,arcade,0.893,61.127,3.487,0.413,0.457,0.000,0.003,0.000,3.168
1759018654.605761,75.586,arcade,0.787,60.970,3.757,0.473,0.632,0.000,0.003,0.000,1.409
1759018654.677366,70.810,arcade,0.896,58.034,3.480,0.341,0.419,0.000,0.003,0.000,0.433
1759018654.750311,72.787,arcade,0.927,58.676,3.293,0.319,0.556,0.000,0.003,0.000,1.169
