ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759064416.800852,768.897,arcade,1.279,0.018,43.498,0.809,0.003,0.000,0.009,0.000,191.392
1759064416.855308,42.878,arcade,0.918,0.010,2.414,0.405,0.004,0.000,0.007,0.000,8.284
1759064416.895260,37.757,arcade,1.055,0.009,2.564,0.831,0.002,0.000,0.003,0.000,9.720
1759064416.934067,37.029,arcade,1.372,0.009,1.719,0.770,0.002,0.000,0.006,0.000,8.806
1759064416.970802,37.147,arcade,0.853,0.007,1.425,0.305,0.001,0.000,0.002,0.000,10.256
1759064417.006996,34.698,arcade,0.751,0.006,1.592,0.400,0.001,0.000,0.003,0.000,6.916
1759064417.044611,37.678,arcade,1.208,0.009,1.676,0.707,0.003,0.000,0.005,0.000,10.904
1759064417.077468,31.555,arcade,0.779,0.005,1.529,0.370,0.001,0.000,0.003,0.000,5.246
1759064417.111788,34.210,arcade,0.753,0.005,1.521,0.398,0.002,0.000,0.003,0.000,8.504
1759064417.145655,32.924,arcade,0.733,0.005,2.331,1.080,0.002,0.000,0.004,0.000,4.489
1759064417.182785,37.154,arcade,0.689,0.005,2.432,0.622,0.002,0.000,0.003,0.000,8.680
1759064417.217005,33.607,arcade,1.232,0.007,2.585,0.513,0.002,0.000,0.006,0.000,5.609
1759064417.255074,37.747,arcade,1.039,0.007,1.816,0.446,0.002,0.000,0.004,0.000,4.791
1759064417.290985,34.420,arcade,1.073,0.007,1.788,0.461,0.003,0.000,0.005,0.000,5.052
1759064417.325155,34.248,arcade,0.997,0.005,2.760,0.476,0.002,0.000,0.005,0.000,4.404
1759064417.360957,33.012,arcade,1.004,0.008,1.675,0.443,0.002,0.000,0.005,0.000,5.269
1759064417.394076,33.053,arcade,0.999,0.006,2.078,0.550,0.003,0.000,0.007,0.000,5.645
1759064417.426756,32.467,arcade,1.004,0.008,3.124,0.328,0.002,0.000,0.004,0.000,4.994
1759064417.459455,31.945,arcade,0.713,0.004,1.617,0.341,0.002,0.000,0.003,0.000,4.742
1759064417.498761,38.770,arcade,1.282,0.008,1.545,0.371,0.002,0.000,0.003,0.000,10.498
1759064417.533912,33.849,arcade,0.796,0.004,1.673,0.442,0.003,0.000,0.005,0.000,4.672
1759064417.571940,37.991,arcade,0.978,0.008,1.608,0.428,0.002,0.000,0.004,0.000,8.331
1759064417.606470,33.920,arcade,1.056,0.009,1.716,0.393,0.002,0.000,0.003,0.000,6.573
1759064417.644613,37.603,arcade,1.048,0.006,2.207,1.308,0.003,0.000,0.005,0.000,8.269
1759064417.677419,31.584,arcade,0.822,0.006,1.835,0.506,0.002,0.000,0.004,0.000,4.173
1759064417.715578,38.075,arcade,0.803,0.006,1.515,0.325,0.001,0.000,0.003,0.000,10.926
1759064417.748058,31.157,arcade,0.870,0.006,1.617,0.530,0.002,0.000,0.004,0.000,4.057
1759064417.783669,35.439,arcade,0.873,0.004,2.035,0.374,0.002,0.000,0.003,0.000,4.749
1759064417.817395,33.708,arcade,1.006,0.010,1.991,0.614,0.003,0.000,0.005,0.000,5.343
1759064417.851611,32.905,arcade,0.928,0.006,3.163,0.484,0.005,0.000,0.005,0.000,4.782
1759064417.884698,32.474,arcade,0.861,0.005,3.253,0.382,0.002,0.000,0.004,0.000,5.006
1759064417.916705,31.917,arcade,0.717,0.005,1.589,0.354,0.002,0.000,0.004,0.000,4.844
1759064417.951211,34.031,arcade,0.887,0.009,1.607,0.300,0.001,0.000,0.003,0.000,7.733
1759064417.984299,32.504,arcade,0.714,0.004,1.504,0.793,0.002,0.000,0.007,0.000,5.411
1759064418.020867,35.842,arcade,0.750,0.005,1.424,0.315,0.001,0.000,0.003,0.000,4.605
1759064418.051445,30.698,arcade,0.854,0.006,1.591,0.364,0.001,0.000,0.003,0.000,3.716
1759064418.085561,33.538,arcade,0.824,0.006,2.192,0.602,0.002,0.000,0.005,0.000,6.029
1759064418.117691,31.540,arcade,1.894,0.004,1.466,0.347,0.002,0.000,0.004,0.000,4.644
1759064418.151278,32.331,arcade,0.827,0.006,1.616,0.386,0.003,0.000,0.004,0.000,5.519
1759064418.188075,36.549,arcade,0.967,0.005,1.495,0.691,0.003,0.000,0.032,0.000,9.161
1759064418.219685,31.665,arcade,0.927,0.007,1.752,0.452,0.001,0.000,0.004,0.000,4.970
1759064418.255401,34.496,arcade,0.768,0.007,2.121,0.727,0.002,0.000,0.005,0.000,5.267
1759064418.288343,31.042,arcade,0.701,0.007,1.477,0.407,0.002,0.000,0.003,0.000,5.076
1759064418.322532,33.280,arcade,0.936,0.006,2.147,0.504,0.002,0.000,0.005,0.000,5.073
1759064418.353801,31.503,arcade,0.796,0.005,3.303,0.759,0.002,0.000,0.004,0.000,4.077
1759064418.386000,31.905,arcade,0.951,0.007,1.641,0.429,0.002,0.000,0.004,0.000,4.697
1759064418.421137,34.271,arcade,0.774,0.008,1.399,0.342,0.003,0.000,0.004,0.000,8.423
1759064418.453555,31.617,arcade,0.975,0.007,1.897,0.406,0.001,0.000,0.004,0.000,4.607
1759064418.491138,36.886,arcade,0.634,0.004,1.845,0.391,0.003,0.000,0.007,0.000,5.890
1759064418.523034,31.752,arcade,0.746,0.005,1.753,0.349,0.002,0.000,0.003,0.000,4.689
1759064418.557180,33.177,arcade,0.695,0.005,2.203,0.591,0.003,0.000,0.006,0.000,5.175
1759064418.588854,31.750,arcade,0.747,0.006,3.808,0.633,0.003,0.000,0.004,0.000,3.904
1759064418.621136,31.253,arcade,0.711,0.004,1.761,0.450,0.003,0.000,0.006,0.000,4.503
1759064418.657806,36.501,arcade,0.888,0.007,1.393,0.327,0.002,0.000,0.005,0.000,8.099
1759064418.689387,31.094,arcade,0.743,0.005,1.830,0.336,0.001,0.000,0.003,0.000,4.048
1759064418.725089,35.004,arcade,0.993,0.005,1.963,0.320,0.002,0.000,0.004,0.000,4.304
1759064418.758249,32.451,arcade,0.890,0.006,1.563,0.585,0.002,0.000,0.004,0.000,5.405
1759064418.790982,32.454,arcade,0.874,0.006,1.934,0.396,0.002,0.000,0.005,0.000,4.386
1759064418.826087,31.473,arcade,1.066,0.006,1.509,0.466,0.002,0.000,0.004,0.000,4.744
1759064418.857181,30.664,arcade,0.791,0.005,2.219,0.401,0.002,0.000,0.005,0.000,4.840
1759064418.889278,31.465,arcade,0.840,0.005,4.517,0.454,0.882,0.000,0.005,0.000,4.606
1759064418.920746,30.326,arcade,0.675,0.005,1.411,0.330,0.152,0.000,0.004,0.000,4.521
1759064418.954959,34.355,arcade,0.975,0.007,2.168,0.530,0.183,0.000,0.004,0.000,9.524
1759064418.986601,30.548,arcade,1.275,0.008,1.763,0.586,0.203,0.000,0.005,0.000,5.339
1759064419.018194,31.694,arcade,0.908,0.006,3.677,0.505,0.172,0.000,0.007,0.000,5.378
1759064419.049498,31.299,arcade,0.702,0.005,5.845,0.549,0.184,0.000,0.007,0.000,4.944
1759064419.079585,29.455,arcade,1.062,0.005,1.664,0.329,0.144,0.000,0.023,0.000,4.216
1759064419.111207,29.803,arcade,1.168,0.006,2.579,0.597,0.181,0.000,0.011,0.000,4.210
1759064419.143488,31.094,arcade,1.927,0.006,1.594,0.423,0.203,0.000,0.005,0.000,4.765
1759064419.173318,28.864,arcade,0.712,0.004,1.387,0.535,0.147,0.000,0.004,0.000,5.330
1759064419.203907,29.962,arcade,1.036,0.010,3.475,0.488,0.152,0.000,0.005,0.000,5.424
1759064419.231429,26.662,arcade,0.650,0.012,1.635,0.353,0.144,0.000,0.004,0.000,4.000
1759064419.259010,27.194,arcade,0.985,0.006,1.360,0.296,0.123,0.000,0.004,0.000,3.829
1759064419.289918,29.513,arcade,1.919,0.004,1.454,0.356,0.132,0.000,0.004,0.000,4.377
1759064419.316268,26.497,arcade,0.708,0.004,1.515,0.406,0.130,0.000,0.003,0.000,5.502
1759064419.347426,30.670,arcade,0.840,0.006,3.669,0.682,0.174,0.000,0.006,0.000,4.996
1759064419.376563,28.497,arcade,0.704,0.004,1.892,1.068,0.182,0.000,0.004,0.000,4.294
1759064419.406223,28.736,arcade,0.695,0.004,1.884,0.867,0.162,0.000,0.004,0.000,4.041
1759064419.437194,29.397,arcade,3.155,0.007,1.406,0.479,0.141,0.000,0.003,0.000,4.311
1759064419.483330,45.822,arcade,0.888,0.005,2.280,0.474,0.173,0.000,0.005,0.000,7.377
1759064419.512389,28.195,arcade,0.856,0.007,1.361,0.351,0.170,0.000,0.005,0.000,4.864
1759064419.541485,28.191,arcade,0.690,0.003,1.534,0.569,0.181,0.000,0.007,0.000,5.939
1759064419.570060,28.668,arcade,0.643,0.005,1.287,0.423,0.195,0.000,0.006,0.000,5.007
1759064419.598109,27.046,arcade,0.695,0.004,1.717,0.403,0.152,0.000,0.004,0.000,4.118
1759064419.626386,27.770,arcade,0.692,0.004,1.709,0.846,0.148,0.000,0.004,0.000,3.958
