ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758725195.099609,353.829,arcade,0.883,65.998,50.856,0.015,0.003,0.000,0.006,0.000,15.824
1758725195.195539,92.875,arcade,1.327,73.510,4.192,0.012,0.002,0.000,0.006,0.000,2.881
1758725195.280328,83.039,arcade,0.923,65.385,3.502,0.702,0.001,0.000,0.004,0.000,2.518
1758725195.358659,77.835,arcade,0.901,64.578,3.383,0.011,0.001,0.000,0.002,0.000,4.296
1758725195.464607,105.016,arcade,0.829,89.252,3.442,0.363,0.002,0.000,0.004,0.000,0.929
1758725195.570259,105.471,arcade,1.119,90.640,4.407,0.426,0.001,0.000,0.003,0.000,2.641
1758725195.614497,43.780,arcade,0.845,30.752,3.395,0.012,0.001,0.000,0.003,0.000,2.592
1758725195.693676,78.638,arcade,0.806,63.679,3.481,0.389,0.001,0.000,0.003,0.000,1.118
1758725195.793546,99.954,arcade,1.086,87.285,3.504,0.428,0.001,0.000,0.003,0.000,0.775
1758725195.875988,81.266,arcade,1.157,66.119,3.498,0.411,0.001,0.000,0.003,0.000,1.002
1758725195.977213,100.857,arcade,1.309,84.371,4.587,0.559,0.002,0.000,0.003,0.000,2.727
1758725196.019945,41.680,arcade,1.031,27.426,3.683,0.264,0.001,0.000,0.002,0.000,2.397
1758725196.119050,99.242,arcade,0.887,88.459,3.936,0.291,0.001,0.000,0.003,0.000,0.841
1758725196.191729,72.110,arcade,1.028,61.258,3.464,0.294,0.001,0.000,0.002,0.000,0.850
1758725196.266492,74.556,arcade,0.966,63.665,3.370,0.175,0.001,0.000,0.003,0.000,1.391
1758725196.340500,73.136,arcade,1.198,61.834,3.554,0.276,0.002,0.000,0.003,0.000,0.947
1758725196.443200,102.259,arcade,0.917,90.672,3.246,0.377,0.001,0.000,0.002,0.000,0.882
1758725196.485520,41.942,arcade,1.035,31.231,3.697,0.211,0.002,0.000,0.002,0.000,0.892
1758725196.558771,72.650,arcade,1.012,61.421,4.247,0.012,0.002,0.000,0.002,0.000,0.969
1758725196.639130,80.752,arcade,1.139,65.223,3.530,0.387,0.002,0.000,0.002,0.000,0.890
1758725196.742408,102.346,arcade,0.963,91.768,3.798,0.275,0.001,0.000,0.002,0.000,0.104
1758725196.821752,78.614,arcade,1.175,67.718,3.664,0.014,0.001,0.000,0.002,0.000,0.888
1758725196.869908,48.278,arcade,0.950,33.280,3.578,0.015,0.001,0.000,0.003,0.000,0.935
1758725196.920564,49.798,arcade,1.142,35.101,3.514,0.016,0.001,0.000,0.002,0.000,0.912
1758725196.971225,50.650,arcade,1.141,34.685,3.717,0.010,0.002,0.000,0.003,0.000,0.916
1758725197.019423,47.704,arcade,1.129,32.557,3.656,0.017,0.003,0.000,0.006,0.000,0.983
1758725197.069532,49.459,arcade,0.920,34.534,3.616,0.011,0.001,0.000,0.003,0.000,1.043
1758725197.118273,48.961,arcade,1.161,33.897,3.506,0.016,0.001,0.000,0.002,0.000,0.838
1758725197.167837,49.138,arcade,0.899,34.555,3.615,0.015,0.001,0.000,0.004,0.000,0.910
1758725197.215525,46.838,arcade,1.097,31.898,3.375,0.010,0.002,0.000,0.003,0.000,1.013
1758725197.264683,49.181,arcade,1.082,33.992,3.660,0.011,0.001,0.000,0.004,0.000,0.980
1758725197.316406,50.812,arcade,1.330,35.011,3.323,0.009,0.001,0.000,0.003,0.000,0.914
1758725197.366532,49.807,arcade,1.446,33.978,3.630,0.010,0.001,0.000,0.003,0.000,1.161
1758725197.416218,50.000,arcade,0.967,34.516,3.208,0.015,0.001,0.000,0.003,0.000,1.031
1758725197.466241,48.547,arcade,1.532,33.137,3.454,0.011,0.001,0.000,0.004,0.000,0.985
1758725197.513942,48.546,arcade,1.069,33.516,3.386,0.009,0.006,0.000,0.002,0.000,0.852
1758725197.564723,49.332,arcade,1.142,34.202,3.186,0.009,0.001,0.000,0.003,0.000,1.255
1758725197.616729,51.581,arcade,1.321,35.493,3.733,0.016,0.002,0.000,0.004,0.000,1.198
1758725197.668353,50.870,arcade,0.896,35.022,4.265,0.011,0.001,0.000,0.003,0.000,1.059
1758725197.720148,52.004,arcade,1.697,35.855,3.805,0.010,0.001,0.000,0.003,0.000,0.958
1758725197.769133,49.377,arcade,0.913,34.489,3.260,0.011,0.002,0.000,0.002,0.000,0.138
