ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758724349.952729,373.425,arcade,1.018,91.218,32.274,1.261,0.003,0.000,0.009,0.000,3.366
1758724350.050187,94.869,arcade,0.976,76.168,4.199,0.743,0.003,0.000,0.010,0.000,2.748
1758724350.126573,74.744,arcade,1.286,55.962,4.284,0.619,0.002,0.000,0.004,0.000,2.690
1758724350.202645,75.391,arcade,0.926,56.739,3.464,0.565,0.001,0.000,0.004,0.000,4.744
1758724350.274506,71.062,arcade,0.869,54.179,3.458,0.774,0.001,0.000,0.003,0.000,2.578
1758724350.344421,69.475,arcade,0.917,52.100,3.721,0.866,0.001,0.000,0.003,0.000,2.461
1758724350.411263,67.063,arcade,0.802,53.011,3.248,0.579,0.001,0.000,0.003,0.000,1.055
1758724350.481475,69.728,arcade,0.898,53.553,3.220,0.603,0.001,0.000,0.003,0.000,2.759
1758724350.553069,70.602,arcade,0.804,55.342,3.690,0.598,0.002,0.000,0.005,0.000,0.892
1758724350.623389,69.893,arcade,1.059,54.166,3.449,0.775,0.001,0.000,0.002,0.000,0.940
1758724350.696307,72.533,arcade,0.967,56.362,4.113,0.615,0.001,0.000,0.003,0.000,0.914
1758724350.768037,71.791,arcade,1.178,54.122,3.597,0.601,0.001,0.000,0.003,0.000,2.436
1758724350.836185,66.572,arcade,0.772,52.219,3.212,0.603,0.002,0.000,0.003,0.000,0.837
1758724350.908559,72.235,arcade,1.023,56.504,3.332,0.627,0.002,0.000,0.003,0.000,1.374
1758724350.978986,70.038,arcade,1.008,54.959,3.268,0.646,0.002,0.000,0.004,0.000,0.915
1758724351.050271,71.161,arcade,1.004,55.582,3.278,0.595,0.001,0.000,0.003,0.000,1.216
1758724351.122291,70.854,arcade,1.055,55.191,3.533,0.641,0.002,0.000,0.003,0.000,1.387
1758724351.191540,69.315,arcade,1.016,53.944,3.505,0.622,0.001,0.000,0.003,0.000,1.109
1758724351.261947,69.539,arcade,0.992,53.527,3.991,0.668,0.003,0.000,0.003,0.000,1.043
1758724351.333272,70.839,arcade,0.982,55.492,3.501,0.536,0.001,0.000,0.002,0.000,0.869
1758724351.401731,68.259,arcade,1.076,52.782,3.382,0.602,0.001,0.000,0.003,0.000,1.068
1758724351.470532,68.177,arcade,1.076,52.740,3.537,0.608,0.001,0.000,0.003,0.000,0.954
1758724351.538296,67.212,arcade,1.004,52.108,3.150,0.549,0.001,0.000,0.003,0.000,0.842
1758724351.607577,69.216,arcade,1.258,53.711,3.296,0.548,0.001,0.000,0.003,0.000,0.846
1758724351.676819,69.328,arcade,1.100,53.813,3.858,0.623,0.002,0.000,0.003,0.000,0.986
1758724351.747753,69.871,arcade,1.010,53.780,3.966,0.581,0.001,0.000,0.002,0.000,0.849
1758724351.815496,67.815,arcade,1.078,51.591,3.529,0.594,0.425,0.000,0.003,0.000,0.917
1758724351.884906,68.410,arcade,1.058,52.829,3.812,0.561,0.108,0.000,0.003,0.000,0.867
1758724351.956297,70.996,arcade,0.936,55.525,3.170,0.587,0.107,0.000,0.003,0.000,0.833
1758724352.025112,68.335,arcade,1.091,53.009,3.753,0.707,0.129,0.000,0.003,0.000,0.119
1758724352.095878,70.787,arcade,1.226,53.775,3.887,0.623,0.118,0.000,0.003,0.000,0.919
1758724352.170206,73.220,arcade,1.033,56.400,3.433,0.686,0.124,0.000,0.003,0.000,1.040
1758724352.242322,71.283,arcade,0.899,55.807,3.914,0.616,0.110,0.000,0.003,0.000,0.106
1758724352.308709,66.314,arcade,0.908,51.642,3.227,0.651,0.119,0.000,0.003,0.000,0.114
1758724352.381559,71.211,arcade,1.178,55.547,3.136,0.603,0.110,0.000,0.004,0.000,1.117
1758724352.451468,69.817,arcade,1.052,54.493,3.211,0.581,0.114,0.000,0.004,0.000,1.093
1758724352.521430,69.376,arcade,1.274,54.217,3.559,0.607,0.419,0.000,0.003,0.000,0.123
1758724352.590615,68.460,arcade,1.005,51.725,3.491,0.598,0.119,0.000,0.003,0.000,0.916
1758724352.659426,68.878,arcade,1.029,53.844,3.461,0.579,0.200,0.000,0.005,0.000,0.107
1758724352.729228,69.300,arcade,1.181,53.743,3.430,0.609,0.204,0.000,0.003,0.000,0.907
1758724352.800637,69.989,arcade,1.206,54.147,3.787,0.633,0.211,0.000,0.003,0.000,0.120
1758724352.870858,70.533,arcade,1.263,55.086,3.323,0.648,0.472,0.000,0.003,0.000,0.125
1758724352.943737,71.653,arcade,0.954,55.401,4.346,0.841,0.215,0.000,0.003,0.000,0.139
1758724353.012577,69.545,arcade,1.029,53.741,3.484,0.636,0.201,0.000,0.003,0.000,0.109
1758724353.082772,68.377,arcade,0.928,54.015,3.399,0.574,0.196,0.000,0.003,0.000,0.108
1758724353.154899,71.525,arcade,1.121,55.819,3.437,0.627,0.212,0.000,0.003,0.000,0.925
1758724353.226346,71.170,arcade,0.975,55.874,3.655,0.599,0.234,0.000,0.004,0.000,0.112
1758724353.295771,68.826,arcade,1.073,52.978,3.473,0.649,0.198,0.000,0.003,0.000,0.109
1758724353.367103,71.787,arcade,1.009,53.335,3.444,0.621,0.268,0.000,2.923,0.000,0.122
1758724353.444021,76.014,arcade,0.853,54.961,3.481,0.591,0.303,0.000,5.729,0.000,0.104
1758724353.523180,78.159,arcade,0.797,56.008,3.458,0.631,0.407,0.000,5.964,0.000,0.876
1758724353.600514,77.568,arcade,1.000,55.303,3.904,0.614,0.413,0.000,5.534,0.000,0.861
1758724353.676787,75.667,arcade,0.898,54.413,3.595,0.567,0.523,0.000,5.924,0.000,0.800
1758724353.752524,74.758,arcade,0.923,53.929,3.306,0.626,0.121,0.000,6.478,0.000,0.125
1758724353.830334,76.838,arcade,0.784,55.438,3.972,0.605,0.115,0.000,6.066,0.000,0.928
1758724353.904946,73.552,arcade,0.759,53.249,3.559,0.637,0.120,0.000,5.763,0.000,0.156
1758724353.980205,74.569,arcade,0.751,54.992,3.962,0.677,0.115,0.000,4.157,0.000,0.816
1758724354.054090,73.665,arcade,0.985,55.376,3.274,0.572,0.115,0.000,3.947,0.000,0.119
1758724354.125819,71.360,arcade,0.867,54.177,3.776,0.618,0.121,0.000,2.490,0.000,0.117
1758724354.197136,70.314,arcade,0.889,53.427,3.359,0.616,0.120,0.000,1.754,0.000,0.949
1758724354.263718,66.421,arcade,0.910,50.935,3.755,0.653,0.115,0.000,0.659,0.000,0.110
1758724354.334796,70.196,arcade,1.226,53.568,3.717,0.533,0.189,0.000,0.178,0.000,0.836
1758724354.404177,69.365,arcade,0.952,54.383,3.408,0.620,0.213,0.000,0.003,0.000,0.940
1758724354.474320,69.702,arcade,1.047,53.896,4.122,0.748,0.203,0.000,0.003,0.000,0.107
1758724354.543726,68.641,arcade,0.959,52.539,3.484,0.571,0.197,0.000,0.003,0.000,0.929
1758724354.608695,65.723,arcade,1.025,50.494,3.816,0.539,0.184,0.000,0.002,0.000,0.103
1758724354.680496,70.212,arcade,1.106,53.568,3.862,0.562,0.199,0.000,0.003,0.000,0.923
