ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758724381.586296,312.695,arcade,0.961,42.071,42.571,0.013,0.004,0.000,0.007,0.000,4.160
1758724381.655536,65.460,arcade,1.091,43.663,5.589,0.053,0.013,0.000,0.027,0.000,4.309
1758724381.716040,57.214,arcade,2.119,35.817,3.783,0.010,0.002,0.000,0.003,0.000,3.023
1758724381.768886,52.887,arcade,0.844,36.640,3.567,0.010,0.001,0.000,0.003,0.000,2.843
1758724381.824239,54.739,arcade,0.830,36.002,7.560,0.011,0.001,0.000,0.003,0.000,0.977
1758724381.874596,49.650,arcade,1.058,34.276,3.858,0.009,0.001,0.000,0.003,0.000,0.981
1758724381.927070,52.133,arcade,0.973,34.203,3.669,0.010,0.001,0.000,0.004,0.000,3.456
1758724381.978282,50.641,arcade,0.861,34.838,3.299,0.010,0.001,0.000,0.003,0.000,3.036
1758724382.031742,52.592,arcade,0.761,35.385,3.751,0.012,0.003,0.000,0.006,0.000,3.212
1758724382.080222,48.920,arcade,0.787,32.437,3.804,0.011,0.001,0.000,0.003,0.000,3.261
1758724382.129879,49.135,arcade,0.824,33.932,3.907,0.012,0.001,0.000,0.003,0.000,1.192
1758724382.180500,49.790,arcade,0.805,34.229,4.294,0.009,0.001,0.000,0.003,0.000,1.234
1758724382.229526,49.055,arcade,0.830,33.572,4.081,0.012,0.002,0.000,0.004,0.000,1.593
1758724382.280121,49.826,arcade,0.894,33.272,3.795,0.011,0.001,0.000,0.003,0.000,2.908
1758724382.330925,50.111,arcade,0.816,34.204,4.287,0.011,0.001,0.000,0.003,0.000,0.994
1758724382.381065,49.972,arcade,1.077,35.035,3.501,0.010,0.001,0.000,0.003,0.000,1.112
1758724382.429788,48.249,arcade,0.938,33.159,3.595,0.009,0.001,0.000,0.002,0.000,0.989
1758724382.479911,49.211,arcade,1.056,34.529,3.744,0.010,0.002,0.000,0.003,0.000,1.019
1758724382.529446,49.007,arcade,0.945,33.355,3.976,0.010,0.001,0.000,0.003,0.000,1.448
1758724382.579586,49.774,arcade,0.944,33.782,4.564,0.015,0.003,0.000,0.014,0.000,1.225
1758724382.629821,50.237,arcade,1.026,34.084,4.079,0.009,0.001,0.000,0.003,0.000,0.986
1758724382.682772,52.402,arcade,1.028,36.375,4.468,0.011,0.001,0.000,0.003,0.000,1.352
1758724382.738864,55.400,arcade,1.175,37.970,4.569,0.011,0.001,0.000,0.003,0.000,1.646
1758724382.792996,53.190,arcade,1.145,36.891,4.626,0.014,0.001,0.000,0.003,0.000,0.209
