ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758724644.349915,312.618,arcade,0.972,37.277,45.473,0.018,0.002,0.000,0.008,0.000,4.527
1758724644.417860,64.159,arcade,1.188,42.510,5.764,0.012,0.003,0.000,0.005,0.000,3.267
1758724644.512295,93.498,arcade,1.454,72.115,5.096,0.928,0.002,0.000,0.004,0.000,3.394
1758724644.601734,88.350,arcade,1.288,68.479,3.887,0.385,0.002,0.000,0.004,0.000,3.247
1758724644.687634,85.087,arcade,1.093,66.723,4.050,0.399,0.002,0.000,0.003,0.000,2.959
1758724644.778542,90.334,arcade,1.044,68.629,5.130,0.450,0.002,0.000,0.003,0.000,4.925
1758724644.859635,81.406,arcade,0.852,65.507,3.624,0.777,0.003,0.000,0.004,0.000,1.545
1758724644.942750,82.300,arcade,1.019,66.930,3.476,0.422,0.001,0.000,0.002,0.000,0.890
1758724645.023052,79.010,arcade,1.008,63.609,3.628,0.425,0.001,0.000,0.002,0.000,0.902
1758724645.101324,78.432,arcade,0.984,61.250,3.812,0.314,0.001,0.000,0.002,0.000,2.422
1758724645.179074,76.734,arcade,0.869,62.715,3.248,0.386,0.002,0.000,0.003,0.000,1.060
1758724645.261427,82.320,arcade,0.950,65.933,3.469,0.375,0.002,0.000,0.003,0.000,2.453
1758724645.340210,78.269,arcade,0.912,63.205,3.538,0.474,0.002,0.000,0.003,0.000,1.027
1758724645.419516,78.866,arcade,1.053,63.420,3.461,0.386,0.001,0.000,0.003,0.000,0.937
1758724645.497332,77.310,arcade,0.996,62.484,3.236,0.327,0.001,0.000,0.002,0.000,0.869
1758724645.576485,79.199,arcade,1.033,64.391,3.243,0.379,0.001,0.000,0.003,0.000,0.857
1758724645.655333,78.432,arcade,1.030,63.149,3.295,0.425,0.001,0.000,0.002,0.000,1.113
1758724645.735460,79.392,arcade,0.991,64.034,3.269,0.372,0.001,0.000,0.002,0.000,0.880
1758724645.816025,80.069,arcade,0.999,65.136,3.160,0.382,0.001,0.000,0.002,0.000,0.892
1758724645.893973,77.071,arcade,1.044,61.398,3.365,0.385,0.001,0.000,0.003,0.000,0.918
1758724645.972001,77.470,arcade,1.070,62.548,3.292,0.364,0.001,0.000,0.002,0.000,0.871
1758724646.051351,79.247,arcade,1.053,63.669,3.930,0.439,0.001,0.000,0.002,0.000,0.988
1758724646.129150,77.186,arcade,0.928,62.209,3.226,0.381,0.001,0.000,0.002,0.000,1.309
1758724646.209978,80.248,arcade,1.196,64.658,4.085,0.519,0.001,0.000,0.003,0.000,0.917
1758724646.288488,78.668,arcade,0.900,63.585,3.543,0.418,0.001,0.000,0.004,0.000,1.075
1758724646.365728,76.419,arcade,1.163,61.577,3.033,0.348,0.001,0.000,0.002,0.000,0.881
1758724646.445662,79.642,arcade,0.937,63.869,3.802,0.542,0.001,0.000,0.003,0.000,1.100
1758724646.520556,74.256,arcade,0.977,58.837,4.109,0.472,0.001,0.000,0.002,0.000,0.115
1758724646.596127,75.073,arcade,0.915,58.422,3.804,0.396,0.466,0.000,0.003,0.000,0.827
1758724646.675353,78.680,arcade,0.955,63.828,3.239,0.357,0.112,0.000,0.002,0.000,0.898
1758724646.750631,75.027,arcade,0.930,59.531,4.189,0.362,0.115,0.000,0.002,0.000,0.884
1758724646.828402,77.167,arcade,1.012,62.040,3.330,0.505,0.158,0.000,0.002,0.000,1.097
1758724646.904843,76.199,arcade,0.833,62.544,3.228,0.403,0.105,0.000,0.002,0.000,0.099
1758724646.983636,77.965,arcade,0.951,62.182,3.481,0.354,0.110,0.000,0.002,0.000,0.883
1758724647.061089,76.831,arcade,0.999,61.845,4.053,0.357,0.107,0.000,0.003,0.000,0.107
1758724647.135926,75.368,arcade,0.952,60.388,3.206,0.348,0.100,0.000,0.003,0.000,0.829
1758724647.213418,77.043,arcade,1.006,62.471,3.610,0.395,0.111,0.000,0.003,0.000,0.111
1758724647.319770,104.382,arcade,1.007,88.094,3.589,0.938,0.125,0.000,0.005,0.000,0.935
1758724647.392135,72.746,arcade,0.907,57.940,3.324,0.598,0.116,0.000,0.002,0.000,0.901
1758724647.463551,70.291,arcade,0.927,54.359,3.366,0.736,0.226,0.000,0.003,0.000,1.018
1758724647.535871,72.622,arcade,0.919,56.976,3.230,0.641,0.202,0.000,0.002,0.000,1.039
1758724647.605907,68.824,arcade,1.031,53.909,3.299,0.650,0.199,0.000,0.003,0.000,0.889
1758724647.678282,71.898,arcade,0.936,55.404,3.645,0.716,0.217,0.000,0.003,0.000,1.316
1758724647.751153,71.736,arcade,1.126,56.276,3.437,0.610,0.210,0.000,0.002,0.000,0.919
1758724647.827183,75.897,arcade,0.957,57.285,3.596,0.650,0.380,0.000,2.895,0.000,0.112
1758724647.902264,74.357,arcade,0.830,56.992,3.263,1.079,0.272,0.000,3.070,0.000,0.116
1758724647.975924,73.910,arcade,0.958,55.701,3.243,0.694,0.254,0.000,2.720,0.000,0.893
1758724648.048589,71.592,arcade,0.851,53.530,3.923,0.620,0.268,0.000,3.242,0.000,0.114
1758724648.119576,70.967,arcade,0.926,53.447,3.394,0.560,0.102,0.000,2.968,0.000,0.837
1758724648.193936,72.713,arcade,0.782,55.239,3.897,0.534,0.110,0.000,2.774,0.000,0.919
1758724648.269185,74.986,arcade,0.924,57.456,3.377,0.572,0.210,0.000,2.955,0.000,0.131
1758724648.344640,75.341,arcade,0.858,58.337,3.377,0.630,0.207,0.000,2.487,0.000,0.139
1758724648.418926,73.161,arcade,0.850,56.844,3.486,0.645,0.201,0.000,1.779,0.000,0.121
1758724648.490091,70.847,arcade,1.105,54.680,4.213,0.557,0.199,0.000,0.944,0.000,0.116
1758724648.563884,73.052,arcade,0.976,57.101,3.222,0.599,0.199,0.000,0.897,0.000,0.964
1758724648.637154,72.761,arcade,0.893,58.378,3.449,0.588,0.211,0.000,0.497,0.000,0.120
1758724648.710550,72.807,arcade,1.035,58.162,3.381,0.435,0.230,0.000,0.112,0.000,0.117
1758724648.781160,70.387,arcade,0.986,55.639,3.561,0.618,0.219,0.000,0.003,0.000,0.119
1758724648.852978,71.224,arcade,1.075,54.694,4.126,0.439,0.197,0.000,0.002,0.000,0.916
1758724648.922362,69.924,arcade,0.916,55.039,3.195,0.518,0.198,0.000,0.003,0.000,1.003
1758724648.994817,70.542,arcade,0.861,56.713,3.267,0.554,0.200,0.000,0.002,0.000,0.202
1758724649.070883,75.826,arcade,0.995,55.075,4.617,0.578,0.402,0.000,3.300,0.000,0.875
1758724649.145603,75.158,arcade,0.816,56.709,3.313,0.507,0.356,0.000,2.826,0.000,0.913
1758724649.221889,74.774,arcade,0.898,56.336,3.902,0.656,0.722,0.000,3.163,0.000,0.139
1758724649.297257,74.831,arcade,0.876,56.773,3.394,0.584,0.343,0.000,2.741,0.000,0.876
1758724649.370044,72.626,arcade,0.905,55.398,3.362,0.533,0.196,0.000,3.233,0.000,0.116
1758724649.445323,74.163,arcade,0.816,56.828,3.452,0.675,0.204,0.000,3.123,0.000,0.118
1758724649.521155,74.981,arcade,0.787,57.590,3.417,0.634,0.212,0.000,2.852,0.000,0.260
1758724649.593684,71.813,arcade,0.836,55.319,3.329,0.509,0.194,0.000,2.314,0.000,0.115
1758724649.668090,73.713,arcade,1.006,57.152,3.509,0.486,0.213,0.000,2.249,0.000,0.115
1758724649.741503,73.265,arcade,0.980,57.089,3.367,0.645,0.215,0.000,1.799,0.000,0.129
1758724649.814776,72.703,arcade,1.009,56.830,3.872,0.519,0.212,0.000,0.979,0.000,0.127
1758724649.889514,74.762,arcade,0.980,58.266,3.781,0.607,0.213,0.000,0.709,0.000,0.125
1758724649.962361,71.888,arcade,0.996,56.824,3.391,0.486,0.307,0.000,0.207,0.000,0.111
1758724650.033312,70.093,arcade,1.039,55.209,3.290,0.594,0.306,0.000,0.003,0.000,0.116
1758724650.103825,70.566,arcade,0.992,55.250,3.159,0.494,0.262,0.000,0.002,0.000,0.849
1758724650.174434,69.775,arcade,1.093,54.768,3.528,0.499,0.304,0.000,0.003,0.000,0.120
1758724650.246122,71.117,arcade,1.030,54.361,3.806,0.571,0.278,0.000,0.002,0.000,0.935
1758724650.314632,67.861,arcade,0.938,53.572,3.260,0.500,0.284,0.000,0.002,0.000,0.110
1758724650.384876,69.942,arcade,0.956,54.573,3.384,0.459,0.307,0.000,0.003,0.000,1.036
1758724650.461700,75.877,arcade,1.117,57.315,5.979,0.598,0.341,0.000,0.005,0.000,1.332
1758724650.538635,76.828,arcade,1.668,56.038,3.952,0.555,0.456,0.000,2.729,0.000,1.296
1758724650.612873,73.638,arcade,0.948,55.140,3.701,0.516,0.331,0.000,2.801,0.000,0.837
1758724650.687240,73.845,arcade,0.933,56.087,3.229,0.577,0.364,0.000,3.031,0.000,0.124
1758724650.760876,73.374,arcade,0.849,55.092,3.613,0.582,0.357,0.000,3.006,0.000,0.851
1758724650.834521,73.122,arcade,0.815,56.129,3.288,0.597,0.282,0.000,2.695,0.000,0.109
1758724650.910772,75.889,arcade,0.825,57.330,4.344,0.555,0.310,0.000,3.209,0.000,0.118
1758724650.983011,71.620,arcade,0.862,54.002,4.267,0.559,0.284,0.000,2.345,0.000,0.113
1758724651.056437,72.141,arcade,1.074,54.832,3.982,0.596,0.303,0.000,2.053,0.000,0.126
1758724651.127245,70.852,arcade,0.964,54.360,3.417,0.478,0.316,0.000,1.636,0.000,0.115
1758724651.207280,78.629,arcade,1.484,57.322,3.600,0.730,0.358,0.000,4.639,0.000,1.218
1758724651.281779,74.268,arcade,0.862,54.889,3.675,0.490,0.269,0.000,4.339,0.000,0.876
1758724651.354961,72.250,arcade,0.828,53.851,3.921,0.570,0.255,0.000,3.273,0.000,0.123
1758724651.430360,74.761,arcade,0.849,55.651,3.803,0.525,0.269,0.000,3.704,0.000,0.949
1758724651.504034,74.396,arcade,0.775,55.699,4.550,0.809,0.120,0.000,2.820,0.000,0.832
1758724651.577098,71.430,arcade,0.912,54.635,3.173,0.573,0.110,0.000,2.701,0.000,0.119
1758724651.650407,73.194,arcade,0.935,55.177,3.352,0.626,0.211,0.000,2.907,0.000,0.182
1758724651.722877,71.182,arcade,1.004,55.122,3.667,0.520,0.369,0.000,1.572,0.000,0.111
1758724651.793620,70.968,arcade,0.943,54.554,3.371,0.599,0.203,0.000,1.370,0.000,0.907
1758724651.864341,70.212,arcade,1.068,54.402,3.268,0.454,0.381,0.000,1.250,0.000,0.119
1758724651.937688,72.390,arcade,0.919,56.673,3.257,0.520,0.213,0.000,0.798,0.000,0.923
1758724652.009986,71.989,arcade,0.952,57.088,3.805,0.462,0.200,0.000,0.477,0.000,0.113
1758724652.081191,69.990,arcade,1.066,54.932,3.457,0.749,0.217,0.000,0.003,0.000,0.113
1758724652.153475,72.348,arcade,1.398,56.527,3.467,0.638,0.209,0.000,0.003,0.000,0.113
1758724652.227365,73.237,arcade,1.024,54.723,3.483,0.557,0.271,0.000,2.921,0.000,0.142
1758724652.300371,72.291,arcade,0.789,55.236,3.269,0.532,0.269,0.000,3.277,0.000,0.125
1758724652.374063,73.639,arcade,0.839,56.044,3.684,0.587,0.268,0.000,2.905,0.000,0.118
1758724652.448368,73.682,arcade,0.877,56.007,3.517,0.563,0.250,0.000,3.104,0.000,0.139
1758724652.522355,73.731,arcade,0.862,55.637,3.402,0.569,0.213,0.000,2.897,0.000,0.120
1758724652.596059,72.308,arcade,0.934,55.331,3.324,0.562,0.195,0.000,2.895,0.000,0.112
1758724652.667305,70.950,arcade,0.852,53.936,3.420,0.522,0.211,0.000,2.738,0.000,0.113
1758724652.739356,70.887,arcade,0.898,54.329,3.232,0.511,0.201,0.000,2.827,0.000,0.114
1758724652.810203,70.514,arcade,0.821,54.700,3.375,0.496,0.194,0.000,2.052,0.000,0.116
1758724652.882370,71.790,arcade,1.036,54.756,3.826,0.474,0.217,0.000,1.319,0.000,1.386
1758724652.951845,69.494,arcade,0.789,53.084,4.013,0.557,0.202,0.000,0.945,0.000,0.114
1758724653.021895,68.661,arcade,0.957,53.577,3.495,0.534,0.214,0.000,0.602,0.000,0.118
1758724653.091610,69.467,arcade,1.022,53.169,3.842,0.563,0.215,0.000,0.103,0.000,0.903
1758724653.159937,68.453,arcade,0.886,54.106,3.477,0.574,0.209,0.000,0.003,0.000,0.112
1758724653.231886,70.648,arcade,0.984,54.553,3.450,0.565,0.200,0.000,0.002,0.000,0.905
1758724653.303680,72.052,arcade,0.915,57.115,3.590,0.505,0.219,0.000,0.003,0.000,0.116
1758724653.374527,70.217,arcade,1.045,55.012,3.631,0.558,0.303,0.000,0.003,0.000,0.120
1758724653.444268,69.324,arcade,1.029,53.902,3.412,0.495,0.296,0.000,0.003,0.000,0.108
1758724653.516327,70.631,arcade,0.928,56.313,3.288,0.526,0.288,0.000,0.002,0.000,0.113
1758724653.591684,75.759,arcade,1.021,56.434,3.753,0.895,0.369,0.000,3.144,0.000,0.113
1758724653.667262,74.741,arcade,0.851,56.632,3.299,0.527,0.412,0.000,2.744,0.000,0.852
1758724653.741677,73.739,arcade,0.881,55.867,3.227,0.524,0.778,0.000,3.095,0.000,0.127
1758724653.815853,72.757,arcade,0.803,54.097,3.379,0.496,0.338,0.000,2.727,0.000,1.375
1758724653.889725,73.595,arcade,0.780,55.679,3.847,0.551,0.201,0.000,3.256,0.000,0.116
1758724653.959950,69.913,arcade,0.814,53.263,3.351,0.431,0.199,0.000,2.862,0.000,0.109
1758724654.031946,71.579,arcade,0.837,55.756,3.337,0.426,0.183,0.000,2.346,0.000,0.106
1758724654.103085,70.401,arcade,0.946,54.423,3.328,0.494,0.203,0.000,2.172,0.000,0.110
