ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758724673.335322,123.040,arcade,0.859,96.253,7.873,0.507,0.003,0.000,0.006,0.000,3.210
1758724673.421316,83.417,arcade,1.016,63.082,4.011,0.634,0.003,0.000,0.009,0.000,3.709
1758724673.497578,74.522,arcade,0.847,59.933,3.386,0.285,0.002,0.000,0.003,0.000,0.931
1758724673.572770,74.144,arcade,1.132,56.929,3.641,0.578,0.002,0.000,0.003,0.000,2.655
1758724673.649320,75.735,arcade,0.801,57.705,4.391,0.668,0.002,0.000,0.004,0.000,3.246
1758724673.730929,81.414,arcade,1.125,61.727,4.759,0.747,0.002,0.000,0.003,0.000,3.432
1758724673.809505,78.657,arcade,0.986,60.411,3.817,0.782,0.002,0.000,0.004,0.000,2.838
1758724673.891969,80.996,arcade,1.142,61.450,4.784,0.935,0.002,0.000,0.006,0.000,2.881
1758724673.971159,79.622,arcade,0.929,61.126,4.436,0.672,0.002,0.000,0.004,0.000,2.934
1758724674.053475,81.553,arcade,1.102,64.147,4.327,0.636,0.002,0.000,0.003,0.000,1.002
1758724674.134105,79.846,arcade,1.447,62.288,4.606,0.515,0.004,0.000,0.003,0.000,1.097
1758724674.214751,79.847,arcade,1.395,61.401,4.255,0.672,0.001,0.000,0.004,0.000,1.046
1758724674.298020,83.410,arcade,1.406,62.880,4.267,0.675,0.002,0.000,0.003,0.000,3.354
1758724674.378584,80.261,arcade,1.250,61.906,4.435,0.811,0.001,0.000,0.005,0.000,1.296
1758724674.458471,79.263,arcade,1.451,61.975,3.911,0.637,0.001,0.000,0.003,0.000,1.226
1758724674.539886,80.350,arcade,1.268,62.412,4.555,0.750,0.002,0.000,0.003,0.000,0.930
1758724674.617366,77.413,arcade,1.181,60.612,3.875,0.648,0.002,0.000,0.003,0.000,1.145
1758724674.696015,78.167,arcade,1.180,61.547,3.930,0.646,0.002,0.000,0.012,0.000,1.009
1758724674.776025,80.135,arcade,1.174,61.195,4.350,0.723,0.002,0.000,0.007,0.000,1.508
1758724674.855260,77.529,arcade,1.614,60.388,3.873,0.629,0.001,0.000,0.003,0.000,0.993
1758724674.932479,77.310,arcade,1.108,60.150,4.446,0.611,0.002,0.000,0.004,0.000,0.969
1758724675.012631,79.298,arcade,1.095,62.852,3.969,0.649,0.001,0.000,0.004,0.000,0.999
1758724675.091522,79.157,arcade,1.186,61.693,4.584,0.699,0.002,0.000,0.004,0.000,1.082
1758724675.169871,77.696,arcade,1.088,60.723,4.156,0.628,0.002,0.000,0.003,0.000,0.985
1758724675.251715,80.978,arcade,1.157,63.181,4.412,0.822,0.002,0.000,0.003,0.000,1.042
1758724675.330236,78.381,arcade,1.326,60.453,4.040,0.712,0.003,0.000,0.005,0.000,1.387
