ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758724067.163282,304.819,arcade,0.853,35.816,33.306,0.022,0.003,0.000,0.009,0.000,15.545
1758724067.261223,95.234,arcade,1.028,69.363,3.770,0.010,0.002,0.000,0.005,0.000,3.252
1758724067.340271,77.805,arcade,0.814,60.523,3.329,0.737,0.002,0.000,0.003,0.000,2.638
1758724067.424724,82.875,arcade,0.997,63.816,3.949,0.337,0.002,0.000,0.003,0.000,3.898
1758724067.502567,77.297,arcade,0.809,60.605,3.554,0.390,0.001,0.000,0.004,0.000,2.812
1758724067.581167,78.342,arcade,0.973,60.963,3.334,0.340,0.001,0.000,0.004,0.000,3.031
1758724067.688386,107.404,arcade,0.848,93.078,3.244,0.339,0.001,0.000,0.004,0.000,0.881
1758724067.770748,80.791,arcade,1.070,64.717,3.585,0.348,0.001,0.000,0.003,0.000,0.882
1758724067.848233,77.049,arcade,0.981,60.415,4.130,0.448,0.001,0.000,0.003,0.000,0.940
1758724067.950104,101.259,arcade,0.957,85.924,3.277,0.318,0.001,0.000,0.003,0.000,0.804
1758724068.027910,77.520,arcade,1.077,61.590,3.291,0.461,0.001,0.000,0.003,0.000,0.912
1758724068.113179,84.804,arcade,1.108,66.324,3.909,0.342,0.001,0.000,0.003,0.000,2.775
1758724068.196249,81.957,arcade,0.907,66.529,3.502,0.388,0.002,0.000,0.004,0.000,0.914
1758724068.275720,79.192,arcade,0.965,63.195,3.797,0.298,0.001,0.000,0.003,0.000,0.856
1758724068.355766,79.740,arcade,1.011,62.805,3.411,0.309,0.001,0.000,0.004,0.000,2.433
1758724068.432399,76.878,arcade,1.017,61.938,3.613,0.299,0.001,0.000,0.003,0.000,0.773
1758724068.512314,78.967,arcade,0.886,63.435,4.080,0.374,0.001,0.000,0.003,0.000,0.872
1758724068.590872,78.682,arcade,1.244,61.872,3.881,0.413,0.001,0.000,0.003,0.000,1.072
1758724068.667609,75.664,arcade,0.880,60.036,3.304,0.366,0.001,0.000,0.003,0.000,1.232
1758724068.744343,76.717,arcade,1.250,60.730,3.257,0.284,0.006,0.000,0.003,0.000,0.946
1758724068.824325,78.938,arcade,0.953,63.932,3.416,0.371,0.002,0.000,0.004,0.000,0.916
1758724068.904197,79.743,arcade,0.957,64.201,3.513,0.264,0.002,0.000,0.003,0.000,0.918
1758724068.982717,77.845,arcade,0.901,61.766,4.008,0.372,0.002,0.000,0.003,0.000,0.933
1758724069.060388,77.331,arcade,1.051,62.141,3.193,0.349,0.001,0.000,0.003,0.000,0.859
1758724069.138402,77.508,arcade,1.097,61.975,3.568,0.382,0.002,0.000,0.003,0.000,0.935
1758724069.217702,79.063,arcade,1.173,62.732,3.268,0.366,0.001,0.000,0.003,0.000,0.918
1758724069.296510,78.177,arcade,0.949,62.545,3.184,0.363,0.001,0.000,0.003,0.000,0.846
1758724069.375759,79.212,arcade,1.085,63.007,4.163,0.380,0.001,0.000,0.003,0.000,0.863
1758724069.456979,80.527,arcade,1.161,62.589,3.676,0.373,0.549,0.000,0.003,0.000,0.849
1758724069.534439,77.519,arcade,1.032,61.142,3.642,0.378,0.114,0.000,0.003,0.000,0.873
1758724069.610468,74.857,arcade,0.999,59.197,3.152,0.403,0.114,0.000,0.003,0.000,0.928
1758724069.689260,78.163,arcade,1.258,61.875,3.758,0.395,0.118,0.000,0.003,0.000,0.904
1758724069.767371,77.812,arcade,0.972,61.912,3.578,0.369,0.106,0.000,0.003,0.000,0.871
1758724069.845181,77.811,arcade,0.932,62.927,3.510,0.368,0.120,0.000,0.003,0.000,0.106
1758724069.924413,77.909,arcade,1.132,61.514,3.633,0.466,0.119,0.000,0.003,0.000,0.920
1758724070.003708,78.674,arcade,0.895,63.025,3.758,0.363,0.109,0.000,0.003,0.000,0.101
1758724070.083155,80.123,arcade,1.133,61.806,4.887,0.374,0.101,0.000,0.003,0.000,0.795
1758724070.162138,77.808,arcade,1.062,62.719,3.431,0.367,0.117,0.000,0.003,0.000,0.125
1758724070.243097,80.692,arcade,1.167,64.321,4.052,0.711,0.146,0.000,0.004,0.000,0.139
1758724070.320996,77.418,arcade,1.083,61.270,3.467,0.378,0.597,0.000,0.003,0.000,0.110
1758724070.401639,79.125,arcade,0.997,63.127,3.704,0.375,0.481,0.000,0.008,0.000,0.168
1758724070.478688,76.979,arcade,1.328,61.636,3.738,0.419,0.207,0.000,0.003,0.000,0.111
1758724070.563396,83.776,arcade,1.325,62.562,3.547,0.348,0.250,0.000,2.998,0.000,0.976
1758724070.646087,82.154,arcade,0.762,63.383,4.425,0.369,0.263,0.000,2.885,0.000,0.985
1758724070.726568,80.358,arcade,1.094,62.100,3.590,0.350,0.245,0.000,2.693,0.000,0.109
1758724070.807246,79.731,arcade,0.937,60.467,4.150,0.352,0.252,0.000,2.694,0.000,0.883
1758724070.889479,81.933,arcade,0.878,64.627,3.485,0.342,0.114,0.000,2.499,0.000,0.106
1758724070.969013,79.277,arcade,1.138,62.542,3.248,0.359,0.116,0.000,2.444,0.000,0.104
1758724071.050007,79.585,arcade,1.242,61.041,3.566,0.347,0.112,0.000,2.666,0.000,0.115
