ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758725594.285187,498.074,arcade,1.221,78.784,52.705,1.114,0.003,0.000,0.007,0.000,3.781
1758725594.359072,71.571,arcade,0.850,52.260,5.149,0.305,0.003,0.000,0.009,0.000,3.013
1758725594.422759,62.318,arcade,1.396,43.516,3.608,0.320,0.001,0.000,0.004,0.000,4.497
1758725594.479247,56.158,arcade,0.748,40.440,3.521,0.014,0.002,0.000,0.005,0.000,2.628
1758725594.571913,92.167,arcade,0.973,75.127,4.053,0.372,0.002,0.000,0.003,0.000,2.733
1758725594.629165,56.281,arcade,0.907,40.885,3.171,0.013,0.002,0.000,0.003,0.000,2.649
1758725594.720924,91.155,arcade,0.956,76.593,3.654,0.010,0.001,0.000,0.003,0.000,0.994
1758725594.815716,94.066,arcade,1.127,77.197,3.782,0.009,0.001,0.000,0.003,0.000,2.624
1758725594.907788,91.238,arcade,0.981,75.861,3.806,0.010,0.002,0.000,0.002,0.000,0.931
1758725594.995661,87.849,arcade,1.046,72.798,3.698,0.022,0.001,0.000,0.003,0.000,0.894
1758725595.085451,89.779,arcade,1.022,74.037,3.135,0.009,0.001,0.000,0.004,0.000,2.565
1758725595.174779,88.931,arcade,1.026,74.131,3.355,0.010,0.001,0.000,0.003,0.000,0.935
1758725595.264071,88.568,arcade,0.962,73.029,3.849,0.010,0.001,0.000,0.003,0.000,0.919
1758725595.353704,89.113,arcade,1.070,73.893,3.464,0.010,0.001,0.000,0.004,0.000,0.863
1758725595.441961,87.671,arcade,1.031,72.393,3.267,0.010,0.002,0.000,0.003,0.000,1.049
1758725595.489103,47.613,arcade,1.003,33.343,3.263,0.010,0.001,0.000,0.003,0.000,0.893
1758725595.583194,92.597,arcade,1.166,76.235,3.993,0.601,0.001,0.000,0.003,0.000,1.008
1758725595.637876,54.722,arcade,0.977,40.097,4.038,0.366,0.002,0.000,0.003,0.000,0.105
1758725595.693925,55.363,arcade,1.203,39.815,3.432,0.335,0.002,0.000,0.003,0.000,0.808
1758725595.751285,57.047,arcade,1.137,42.038,3.159,0.411,0.001,0.000,0.003,0.000,1.160
1758725595.810561,58.411,arcade,0.999,43.188,3.847,0.390,0.002,0.000,0.003,0.000,0.929
1758725595.868773,58.692,arcade,1.106,42.881,3.911,0.325,0.001,0.000,0.003,0.000,0.857
1758725595.927213,57.762,arcade,1.098,42.509,3.499,0.322,0.001,0.000,0.002,0.000,0.885
