ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759025462.775753,260.418,arcade,0.713,95.291,7.448,0.716,0.002,0.000,0.005,0.000,71.226
1759025462.872355,94.352,arcade,0.809,68.046,4.882,0.438,0.003,0.000,0.006,0.000,11.126
1759025462.954816,79.962,arcade,0.803,57.053,4.329,0.472,0.002,0.000,0.003,0.000,7.730
1759025463.041326,85.573,arcade,1.082,58.970,3.612,0.675,0.001,0.000,0.003,0.000,12.508
1759025463.123355,81.694,arcade,0.843,58.242,3.353,0.451,0.002,0.000,0.004,0.000,9.899
1759025463.206096,82.788,arcade,0.885,58.779,3.857,0.830,0.001,0.000,0.003,0.000,9.743
1759025463.287641,81.045,arcade,0.895,58.598,3.704,0.418,0.001,0.000,0.003,0.000,7.860
1759025463.371290,83.016,arcade,0.861,59.655,3.582,0.502,0.002,0.000,0.003,0.000,9.844
1759025463.454925,82.597,arcade,0.950,60.626,3.473,0.500,0.001,0.000,0.004,0.000,8.252
1759025463.538675,83.740,arcade,0.937,60.473,3.445,0.509,0.002,0.000,0.007,0.000,9.853
1759025463.618065,79.362,arcade,0.805,58.466,3.316,0.424,0.001,0.000,0.003,0.000,8.087
1759025463.699636,80.739,arcade,0.829,59.294,3.385,0.429,0.001,0.000,0.003,0.000,8.122
1759025463.780694,81.502,arcade,0.785,59.205,3.867,0.428,0.001,0.000,0.003,0.000,8.749
1759025463.862846,81.670,arcade,0.855,59.584,3.570,0.426,0.001,0.000,0.003,0.000,7.992
1759025463.942090,78.101,arcade,0.957,55.426,3.500,0.418,0.001,0.000,0.003,0.000,9.303
1759025464.021983,79.439,arcade,0.993,58.110,3.377,0.411,0.001,0.000,0.003,0.000,7.997
1759025464.098766,77.061,arcade,0.938,56.106,3.655,0.433,0.002,0.000,0.003,0.000,7.802
1759025464.179053,79.090,arcade,1.078,55.992,3.965,0.402,0.001,0.000,0.003,0.000,9.041
1759025464.259871,80.852,arcade,0.867,56.622,3.628,0.448,0.001,0.000,0.003,0.000,9.611
1759025464.340458,79.885,arcade,0.848,58.695,3.156,0.444,0.001,0.000,0.003,0.000,8.227
1759025464.423689,82.754,arcade,0.831,59.349,4.487,0.400,0.001,0.000,0.003,0.000,8.827
1759025464.506000,82.159,arcade,0.869,58.555,3.477,0.497,0.002,0.000,0.003,0.000,9.839
1759025464.586098,80.154,arcade,0.869,57.571,3.291,0.408,0.001,0.000,0.003,0.000,9.020
1759025464.666909,79.858,arcade,0.909,58.004,4.383,0.418,0.001,0.000,0.003,0.000,7.414
1759025464.746147,78.855,arcade,0.910,56.630,4.404,0.705,0.001,0.000,0.003,0.000,7.443
1759025464.826885,80.884,arcade,0.848,59.139,3.970,0.405,0.001,0.000,0.003,0.000,7.552
1759025464.909904,82.468,arcade,0.828,59.801,4.026,0.519,0.001,0.000,0.003,0.000,8.097
1759025464.989529,79.422,arcade,0.853,57.608,4.045,0.430,0.001,0.000,0.003,0.000,8.225
1759025465.068290,78.046,arcade,0.903,56.463,3.688,0.384,0.002,0.000,0.003,0.000,8.062
1759025465.151284,82.460,arcade,0.813,60.546,3.348,0.433,0.001,0.000,0.003,0.000,8.742
