ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759064446.731427,648.227,arcade,1.279,0.008,39.161,0.543,0.017,0.000,0.005,0.000,191.241
1759064446.787527,41.467,arcade,0.672,0.025,2.434,0.295,0.015,0.000,0.006,0.000,11.096
1759064446.840623,51.971,arcade,1.115,0.008,3.709,0.526,0.026,0.000,0.006,0.000,8.452
1759064446.880738,39.031,arcade,0.776,0.010,1.806,0.361,0.017,0.000,0.005,0.000,8.491
1759064446.919621,38.116,arcade,0.832,0.005,1.620,0.244,0.011,0.000,0.004,0.000,4.612
1759064446.960963,40.842,arcade,0.676,0.005,1.682,0.344,0.012,0.000,0.003,0.000,9.368
1759064447.002262,40.825,arcade,0.976,0.007,3.389,0.219,0.010,0.000,0.004,0.000,8.308
1759064447.041829,38.727,arcade,0.738,0.004,1.340,0.300,0.015,0.000,0.006,0.000,8.539
1759064447.081736,40.356,arcade,0.660,0.004,1.362,0.267,0.009,0.000,0.004,0.000,7.894
1759064447.121025,37.773,arcade,0.967,0.013,1.785,0.478,0.014,0.000,0.005,0.000,6.178
1759064447.161666,40.804,arcade,0.816,0.006,3.019,0.477,0.013,0.000,0.003,0.000,7.582
1759064447.202784,40.777,arcade,0.730,0.006,1.640,0.401,0.010,0.000,0.003,0.000,4.664
1759064447.241004,36.838,arcade,1.075,0.008,4.505,0.324,0.011,0.000,0.003,0.000,4.976
1759064447.279624,38.634,arcade,0.920,0.006,1.520,0.442,0.009,0.000,0.003,0.000,5.346
1759064447.319507,38.845,arcade,0.687,0.005,1.680,0.434,0.014,0.000,0.005,0.000,4.765
1759064447.354196,34.678,arcade,0.733,0.005,1.489,0.393,0.011,0.000,0.003,0.000,4.597
1759064447.395744,40.376,arcade,1.329,0.011,3.961,0.638,0.019,0.000,0.004,0.000,4.803
1759064447.433213,37.240,arcade,0.761,0.005,1.717,0.407,0.010,0.000,0.003,0.000,5.274
1759064447.472291,38.264,arcade,0.834,0.006,3.332,0.266,0.085,0.000,0.003,0.000,5.449
1759064447.508586,35.927,arcade,0.700,0.006,1.534,0.388,0.009,0.000,0.003,0.000,4.851
1759064447.547586,38.781,arcade,0.877,0.006,3.052,0.437,0.011,0.000,0.003,0.000,5.017
1759064447.585085,36.341,arcade,0.860,0.006,1.359,0.388,0.012,0.000,0.003,0.000,6.531
1759064447.624709,38.952,arcade,0.774,0.006,3.432,0.361,0.011,0.000,0.003,0.000,4.932
