ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759025499.629422,214.790,arcade,0.986,0.016,8.866,0.891,0.004,0.000,0.006,0.000,89.610
1759025499.677117,43.992,arcade,0.819,0.009,9.371,0.353,0.002,0.000,0.008,0.000,20.194
1759025499.708995,29.495,arcade,0.674,0.005,4.689,0.497,0.004,0.000,0.005,0.000,12.518
1759025499.744756,33.709,arcade,1.018,0.005,5.110,0.342,0.002,0.000,0.004,0.000,17.681
1759025499.773882,29.101,arcade,0.765,0.004,3.984,0.340,0.002,0.000,0.004,0.000,14.144
1759025499.809673,35.501,arcade,1.508,0.010,4.355,0.344,0.002,0.000,0.003,0.000,15.847
1759025499.838299,27.754,arcade,0.754,0.006,4.203,0.426,0.002,0.000,0.004,0.000,12.377
1759025499.869547,31.479,arcade,0.683,0.006,4.123,0.495,0.001,0.000,0.003,0.000,15.249
1759025499.898832,28.375,arcade,0.771,0.008,3.881,0.415,0.002,0.000,0.004,0.000,13.110
1759025499.930993,31.905,arcade,0.895,0.007,4.023,0.380,0.002,0.000,0.004,0.000,16.653
1759025499.963917,31.518,arcade,0.729,0.008,5.249,0.486,0.002,0.000,0.003,0.000,14.502
1759025499.995413,31.403,arcade,0.762,0.006,4.745,0.436,0.002,0.000,0.004,0.000,14.106
1759025500.023044,27.257,arcade,0.648,0.005,4.761,0.494,0.003,0.000,0.004,0.000,9.844
1759025500.053639,30.441,arcade,0.660,0.005,3.705,0.451,0.002,0.000,0.005,0.000,11.359
1759025500.082293,27.917,arcade,0.801,0.005,4.841,0.393,0.002,0.000,0.004,0.000,9.937
1759025500.109948,27.583,arcade,0.613,0.004,4.618,0.455,0.002,0.000,0.006,0.000,11.232
1759025500.143610,33.551,arcade,0.763,0.004,7.396,0.393,0.001,0.000,0.004,0.000,14.251
1759025500.174771,30.244,arcade,0.932,0.006,3.929,0.442,0.003,0.000,0.004,0.000,12.568
1759025500.206147,30.603,arcade,0.818,0.006,3.722,0.438,0.002,0.000,0.004,0.000,14.863
1759025500.235760,29.782,arcade,0.737,0.005,5.180,0.509,0.003,0.000,0.006,0.000,12.031
1759025500.269385,32.746,arcade,0.641,0.005,4.762,0.580,0.003,0.000,0.003,0.000,10.477
1759025500.296055,26.378,arcade,0.665,0.005,3.658,0.648,0.003,0.000,0.004,0.000,11.194
1759025500.324546,28.298,arcade,0.750,0.007,4.104,0.448,0.002,0.000,0.004,0.000,11.506
1759025500.354643,29.792,arcade,0.768,0.006,4.574,0.505,0.002,0.000,0.004,0.000,9.817
1759025500.382280,27.474,arcade,0.979,0.005,3.741,0.459,0.004,0.000,0.006,0.000,11.109
1759025500.413923,30.370,arcade,0.740,0.006,4.086,0.435,0.002,0.000,0.003,0.000,13.458
1759025500.443675,29.485,arcade,0.695,0.005,5.601,0.598,0.002,0.000,0.004,0.000,10.857
1759025500.475809,31.844,arcade,0.668,0.004,5.820,0.563,0.002,0.000,0.006,0.000,9.311
1759025500.505012,29.006,arcade,0.749,0.006,3.971,0.480,0.002,0.000,0.003,0.000,13.337
1759025500.535625,30.283,arcade,0.707,0.006,3.822,0.488,0.002,0.000,0.003,0.000,11.131
1759025500.563771,27.677,arcade,0.645,0.004,4.189,0.512,0.002,0.000,0.005,0.000,10.722
1759025500.591183,26.527,arcade,1.067,0.005,4.561,0.524,0.003,0.000,0.004,0.000,9.944
1759025500.624845,33.422,arcade,0.868,0.004,7.858,0.482,0.003,0.000,0.003,0.000,11.407
1759025500.652934,26.900,arcade,1.259,0.006,3.906,0.515,0.002,0.000,0.004,0.000,9.983
1759025500.685613,32.256,arcade,0.901,0.008,4.467,0.532,0.002,0.000,0.003,0.000,13.681
1759025500.713755,27.614,arcade,0.679,0.004,4.981,0.502,0.003,0.000,0.004,0.000,9.907
1759025500.745633,31.363,arcade,0.709,0.005,5.921,0.540,0.002,0.000,0.004,0.000,11.024
1759025500.773776,28.477,arcade,0.810,0.007,5.283,0.572,0.003,0.000,0.003,0.000,11.408
1759025500.803210,28.714,arcade,0.741,0.005,4.343,0.547,0.003,0.000,0.005,0.000,12.891
1759025500.833349,29.734,arcade,0.643,0.004,5.943,0.600,0.003,0.000,0.004,0.000,10.985
1759025500.860975,26.929,arcade,0.834,0.006,4.090,0.530,0.002,0.000,0.003,0.000,12.029
1759025500.892946,31.815,arcade,0.774,0.005,4.419,0.582,0.002,0.000,0.004,0.000,13.123
1759025500.919050,26.252,arcade,0.658,0.005,4.736,0.548,0.002,0.000,0.005,0.000,9.953
1759025500.946635,26.499,arcade,0.696,0.006,3.963,0.535,0.002,0.000,0.004,0.000,11.531
1759025500.977277,30.195,arcade,0.648,0.005,4.554,0.693,0.002,0.000,0.004,0.000,10.859
1759025501.006436,28.919,arcade,0.774,0.007,3.840,0.476,0.002,0.000,0.004,0.000,12.508
1759025501.039100,32.602,arcade,0.803,0.005,4.211,0.463,0.002,0.000,0.004,0.000,15.225
1759025501.069290,29.445,arcade,0.647,0.005,4.809,0.624,0.002,0.000,0.005,0.000,13.277
1759025501.102194,32.589,arcade,0.649,0.004,5.028,0.545,0.002,0.000,0.004,0.000,15.564
1759025501.129827,27.507,arcade,0.637,0.005,3.817,0.542,0.003,0.000,0.007,0.000,12.827
1759025501.162455,31.632,arcade,1.304,0.007,3.698,0.512,0.003,0.000,0.003,0.000,10.935
1759025501.191885,29.803,arcade,0.824,0.007,4.131,0.868,0.002,0.000,0.004,0.000,10.659
1759025501.220005,27.575,arcade,0.731,0.006,4.579,0.566,0.002,0.000,0.005,0.000,10.008
1759025501.250816,30.405,arcade,0.797,0.004,6.598,0.704,0.002,0.000,0.004,0.000,10.668
1759025501.278415,27.004,arcade,1.284,0.010,3.813,0.562,0.002,0.000,0.004,0.000,10.956
1759025501.311057,31.979,arcade,0.678,0.005,4.603,0.590,0.003,0.000,0.004,0.000,14.918
1759025501.338638,27.822,arcade,0.731,0.004,4.292,0.787,0.003,0.000,0.005,0.000,10.643
1759025501.373279,33.607,arcade,0.676,0.005,3.639,0.556,0.003,0.000,0.004,0.000,12.287
1759025501.404307,31.314,arcade,0.905,0.007,4.515,0.562,0.002,0.000,0.003,0.000,12.658
1759025501.440936,36.132,arcade,1.223,0.012,4.793,0.550,0.003,0.000,0.005,0.000,13.402
1759025501.472310,30.285,arcade,1.006,0.010,4.944,0.509,0.002,0.000,0.005,0.000,12.248
1759025501.502920,29.672,arcade,1.020,0.006,5.151,0.522,0.002,0.000,0.004,0.000,11.811
1759025501.536826,34.239,arcade,0.961,0.006,4.938,0.579,0.003,0.000,0.006,0.000,11.999
1759025501.570052,32.476,arcade,1.071,0.008,4.999,0.624,0.002,0.000,0.003,0.000,12.168
1759025501.599227,29.437,arcade,0.807,0.007,4.124,2.169,0.003,0.000,0.006,0.000,12.549
1759025501.630228,29.265,arcade,0.971,0.008,4.762,0.477,0.002,0.000,0.004,0.000,13.117
1759025501.663003,32.301,arcade,0.957,0.007,4.933,0.490,0.002,0.000,0.003,0.000,14.083
1759025501.689156,26.032,arcade,0.669,0.003,4.321,1.184,0.002,0.000,0.008,0.000,10.433
1759025501.716793,26.986,arcade,0.778,0.006,5.084,0.599,0.002,0.000,0.005,0.000,10.476
1759025501.748487,32.012,arcade,0.694,0.004,5.056,0.756,0.003,0.000,0.006,0.000,11.348
1759025501.776604,26.908,arcade,0.837,0.006,4.245,0.573,0.002,0.000,0.003,0.000,11.106
1759025501.807781,31.253,arcade,0.756,0.005,4.249,0.754,0.002,0.000,0.006,0.000,14.874
1759025501.838060,29.893,arcade,0.647,0.004,4.701,0.721,0.002,0.000,0.004,0.000,12.956
1759025501.868738,30.871,arcade,0.636,0.004,4.910,0.557,0.002,0.000,0.004,0.000,10.510
1759025501.897855,28.724,arcade,0.815,0.005,3.926,0.496,0.003,0.000,0.003,0.000,11.547
1759025501.931003,31.958,arcade,0.674,0.006,3.653,0.506,0.001,0.000,0.005,0.000,12.208
1759025501.958103,27.033,arcade,0.750,0.005,4.086,0.528,0.002,0.000,0.003,0.000,10.061
1759025501.984024,25.981,arcade,0.685,0.005,4.308,0.534,0.002,0.000,0.005,0.000,9.244
1759025502.019714,34.275,arcade,1.386,0.009,3.967,0.727,0.005,0.000,0.007,0.000,16.094
1759025502.047382,26.837,arcade,0.737,0.007,4.287,0.563,0.002,0.000,0.005,0.000,10.826
1759025502.080831,33.011,arcade,0.651,0.005,4.704,0.646,0.002,0.000,0.004,0.000,15.750
1759025502.109622,28.417,arcade,0.835,0.004,4.487,0.524,0.003,0.000,0.005,0.000,12.504
1759025502.139571,30.069,arcade,0.713,0.004,3.861,0.488,0.003,0.000,0.008,0.000,10.362
1759025502.169203,28.417,arcade,0.835,0.008,4.385,0.453,0.003,0.000,0.003,0.000,10.779
1759025502.197740,28.883,arcade,0.650,0.004,4.316,0.485,0.003,0.000,0.003,0.000,10.584
1759025502.228892,31.003,arcade,0.794,0.004,7.224,0.501,0.002,0.000,0.005,0.000,10.068
1759025502.255028,25.516,arcade,0.896,0.007,3.666,0.540,0.002,0.000,0.004,0.000,10.156
1759025502.288409,32.678,arcade,0.789,0.007,4.462,0.516,0.003,0.000,0.003,0.000,13.538
1759025502.317153,27.545,arcade,0.960,0.010,4.768,0.656,0.002,0.000,0.005,0.000,10.129
1759025502.349325,31.856,arcade,0.739,0.006,6.502,0.534,0.002,0.000,0.008,0.000,9.750
1759025502.376584,27.577,arcade,0.704,0.006,3.811,0.532,0.003,0.000,0.003,0.000,11.149
1759025502.404794,27.876,arcade,1.038,0.007,5.268,0.559,0.002,0.000,0.005,0.000,10.027
1759025502.437407,31.124,arcade,0.618,0.004,7.615,0.621,0.002,0.000,0.004,0.000,9.489
