ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759065000.411644,565.718,arcade,0.774,0.011,6.146,2.076,0.007,0.000,0.014,0.000,253.343
1759065000.488903,63.246,arcade,2.941,0.034,6.107,0.475,0.004,0.000,0.057,0.000,22.432
1759065000.552974,62.519,arcade,1.136,0.010,2.594,0.436,0.001,0.000,0.005,0.000,24.460
1759065000.610089,56.534,arcade,1.313,0.007,9.245,1.086,0.001,0.000,0.003,0.000,12.677
1759065000.660123,49.789,arcade,0.929,0.007,5.166,2.111,0.002,0.000,0.007,0.000,8.999
1759065000.734308,73.051,arcade,0.916,0.005,18.434,0.382,0.002,0.000,0.004,0.000,17.251
1759065000.775486,40.164,arcade,1.098,0.007,1.642,0.447,0.003,0.000,0.006,0.000,6.920
1759065000.837478,60.102,arcade,1.322,0.007,2.317,1.651,0.003,0.000,0.010,0.000,20.959
1759065000.884762,44.354,arcade,4.244,0.008,2.960,0.635,0.003,0.000,0.010,0.000,7.058
1759065000.936697,51.005,arcade,1.048,0.006,2.457,0.637,0.004,0.000,0.008,0.000,17.959
1759065000.993387,55.523,arcade,1.907,0.005,4.381,0.443,0.002,0.000,0.005,0.000,12.319
1759065001.041321,44.551,arcade,1.136,0.007,1.636,0.317,0.001,0.000,0.004,0.000,6.980
1759065001.088626,44.383,arcade,1.812,0.006,2.924,0.582,0.003,0.000,0.012,0.000,7.002
1759065001.144871,55.891,arcade,2.578,0.023,1.898,0.645,0.003,0.000,0.012,0.000,12.493
1759065001.207625,61.703,arcade,1.436,0.015,10.948,0.494,0.002,0.000,0.006,0.000,5.682
1759065001.253844,45.105,arcade,1.398,0.015,5.650,0.851,0.005,0.000,0.015,0.000,7.870
1759065001.309068,51.875,arcade,2.184,0.007,6.715,0.363,0.002,0.000,0.006,0.000,5.418
1759065001.364348,51.040,arcade,1.118,0.020,7.847,0.352,0.001,0.000,0.004,0.000,10.260
1759065001.411651,45.667,arcade,1.037,0.007,7.326,0.510,0.002,0.000,0.003,0.000,9.219
1759065001.462812,50.465,arcade,1.268,0.008,1.824,0.610,0.005,0.000,0.013,0.000,12.561
1759065001.509320,44.277,arcade,1.272,0.008,3.208,0.594,0.003,0.000,0.006,0.000,7.958
1759065001.582458,71.575,arcade,2.927,0.013,3.554,1.818,0.005,0.000,0.011,0.000,25.071
1759065001.631359,46.163,arcade,1.068,0.010,10.781,0.888,0.004,0.000,0.013,0.000,7.761
1759065001.684615,53.086,arcade,1.096,0.007,7.271,0.470,0.003,0.000,0.005,0.000,10.695
