ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759064338.336697,417.165,arcade,2.237,0.014,5.703,0.015,0.002,0.000,0.007,0.000,187.783
1759064338.397675,50.099,arcade,2.837,0.017,5.767,0.012,0.003,0.000,0.005,0.000,9.556
1759064338.442382,42.339,arcade,3.131,0.008,5.304,0.010,0.001,0.000,0.003,0.000,7.606
1759064338.481152,37.860,arcade,2.505,0.009,1.632,0.011,0.001,0.000,0.003,0.000,10.908
1759064338.520815,39.585,arcade,2.667,0.008,1.599,0.015,0.002,0.000,0.004,0.000,10.055
1759064338.555146,33.983,arcade,2.994,0.006,1.376,0.011,0.002,0.000,0.003,0.000,6.557
1759064338.588858,32.398,arcade,3.396,0.006,3.786,0.010,0.001,0.000,0.003,0.000,4.881
1759064338.625933,37.048,arcade,2.397,0.007,1.455,0.012,0.002,0.000,0.003,0.000,6.480
1759064338.662077,35.071,arcade,3.735,0.008,1.708,0.010,0.001,0.000,0.003,0.000,4.584
1759064338.699073,35.873,arcade,5.491,0.007,2.078,0.014,0.001,0.000,0.003,0.000,5.841
1759064338.735109,35.894,arcade,2.557,0.009,3.207,0.016,0.002,0.000,0.006,0.000,6.925
1759064338.777324,41.758,arcade,2.793,0.007,1.626,0.011,0.001,0.000,0.003,0.000,11.266
1759064338.818051,39.457,arcade,2.692,0.007,1.608,0.012,0.002,0.000,0.004,0.000,5.333
1759064338.853812,35.364,arcade,4.575,0.007,1.742,0.014,0.001,0.000,0.005,0.000,4.616
1759064338.889920,36.256,arcade,2.461,0.007,4.979,0.010,0.001,0.000,0.003,0.000,6.816
1759064338.929066,38.506,arcade,2.444,0.008,1.435,0.013,0.002,0.000,0.005,0.000,8.517
1759064338.966724,36.200,arcade,3.604,0.008,2.010,0.018,0.002,0.000,0.005,0.000,5.286
1759064339.001198,34.386,arcade,4.958,0.006,1.352,0.013,0.001,0.000,0.003,0.000,5.570
1759064339.036821,34.944,arcade,2.514,0.007,2.755,0.017,0.002,0.000,0.005,0.000,7.903
1759064339.074589,37.088,arcade,2.574,0.008,1.364,0.010,0.001,0.000,0.003,0.000,5.073
1759064339.109264,33.867,arcade,3.511,0.013,1.420,0.012,0.002,0.000,0.003,0.000,4.927
1759064339.143886,34.696,arcade,2.475,0.007,4.433,0.010,0.002,0.000,0.002,0.000,4.655
1759064339.190744,46.530,arcade,2.663,0.007,3.563,0.015,0.002,0.000,0.004,0.000,7.840
1759064339.231160,39.331,arcade,3.603,0.009,1.655,0.012,0.001,0.000,0.003,0.000,5.302
1759064339.267323,35.771,arcade,3.903,0.010,1.885,0.019,0.003,0.000,0.005,0.000,4.859
1759064339.304339,36.345,arcade,3.481,0.011,1.405,0.011,0.001,0.000,0.003,0.000,5.352
1759064339.339619,34.635,arcade,2.299,0.010,2.803,0.012,0.001,0.000,0.003,0.000,7.599
1759064339.376346,36.644,arcade,3.020,0.010,1.785,0.011,0.001,0.000,0.004,0.000,4.309
1759064339.410964,34.474,arcade,3.912,0.010,1.894,0.012,0.001,0.000,0.003,0.000,4.698
1759064339.445632,33.736,arcade,2.838,0.006,4.314,0.012,0.001,0.000,0.003,0.000,4.647
1759064339.483892,37.915,arcade,2.769,0.007,2.228,0.017,0.003,0.000,0.004,0.000,4.947
