ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759064361.138088,426.639,arcade,3.142,0.019,8.201,0.856,0.024,0.000,0.006,0.000,195.994
1759064361.197929,48.931,arcade,2.585,0.015,2.489,0.515,0.021,0.000,0.006,0.000,11.938
1759064361.237578,37.993,arcade,2.592,0.011,2.110,0.436,0.018,0.000,0.004,0.000,9.979
1759064361.278796,39.327,arcade,2.690,0.008,5.056,0.386,0.013,0.000,0.003,0.000,7.068
1759064361.312935,33.270,arcade,2.246,0.014,1.805,0.404,0.011,0.000,0.003,0.000,4.474
1759064361.355657,41.684,arcade,3.216,0.011,3.974,0.300,0.013,0.000,0.004,0.000,10.220
1759064361.389094,32.592,arcade,2.197,0.007,1.488,0.768,0.016,0.000,0.003,0.000,4.991
1759064361.426320,37.338,arcade,3.314,0.013,2.730,0.458,0.011,0.000,0.003,0.000,7.629
1759064361.463283,35.685,arcade,2.333,0.007,1.880,0.650,0.017,0.000,0.007,0.000,7.090
1759064361.501621,38.420,arcade,2.786,0.008,4.216,0.455,0.014,0.000,0.003,0.000,7.222
1759064361.536750,34.111,arcade,2.517,0.012,1.487,0.480,0.015,0.000,0.005,0.000,4.776
1759064361.573411,35.992,arcade,3.310,0.010,2.478,2.731,0.010,0.000,0.003,0.000,4.655
1759064361.606786,33.250,arcade,2.426,0.007,1.923,0.536,0.018,0.000,0.005,0.000,4.896
1759064361.642966,35.743,arcade,2.400,0.017,4.353,0.387,0.012,0.000,0.003,0.000,4.663
1759064361.678599,34.932,arcade,2.591,0.008,1.794,0.421,0.021,0.000,0.005,0.000,4.796
1759064361.717246,37.352,arcade,2.155,0.015,2.015,2.395,0.017,0.000,0.005,0.000,6.143
1759064361.751365,33.875,arcade,2.528,0.007,1.836,0.591,0.019,0.000,0.005,0.000,5.312
1759064361.789887,37.653,arcade,3.077,0.016,2.648,2.644,0.010,0.000,0.003,0.000,4.823
1759064361.823360,33.071,arcade,2.227,0.006,2.012,0.528,0.017,0.000,0.004,0.000,5.526
1759064361.861379,37.307,arcade,2.196,0.009,2.986,0.572,0.018,0.000,0.005,0.000,7.021
1759064361.895403,33.229,arcade,2.546,0.006,1.523,0.446,0.022,0.000,0.006,0.000,4.949
1759064361.931628,35.889,arcade,2.165,0.007,4.354,0.566,0.014,0.000,0.003,0.000,4.712
1759064361.964813,33.182,arcade,2.696,0.007,1.561,0.677,0.015,0.000,0.005,0.000,4.802
1759064362.003392,38.374,arcade,2.282,0.008,4.895,2.464,0.010,0.000,0.003,0.000,4.144
1759064362.037033,32.277,arcade,2.423,0.009,1.717,0.312,0.011,0.000,0.003,0.000,3.921
1759064362.075848,38.675,arcade,2.311,0.008,4.816,0.309,0.008,0.000,0.002,0.000,4.599
1759064362.108400,31.916,arcade,2.333,0.008,1.649,0.655,0.022,0.000,0.006,0.000,4.181
1759064362.145556,36.892,arcade,2.299,0.008,5.539,0.393,0.010,0.000,0.003,0.000,4.356
1759064362.181652,35.586,arcade,2.463,0.007,1.846,0.452,0.021,0.000,0.006,0.000,5.826
1759064362.219347,37.002,arcade,2.655,0.009,2.366,2.824,0.012,0.000,0.003,0.000,4.739
1759064362.253681,33.385,arcade,2.358,0.008,1.874,0.642,0.022,0.000,0.006,0.000,3.876
1759064362.291244,37.485,arcade,2.218,0.007,5.725,0.338,0.009,0.000,0.003,0.000,3.964
1759064362.322189,30.497,arcade,2.690,0.011,2.666,0.377,0.016,0.000,0.004,0.000,3.347
1759064362.358373,35.553,arcade,2.525,0.007,5.047,0.293,0.012,0.000,0.003,0.000,5.044
1759064362.390216,30.753,arcade,2.149,0.006,1.424,0.369,0.044,0.000,0.006,0.000,4.673
1759064362.423296,33.296,arcade,2.025,0.006,4.360,0.302,0.013,0.000,0.003,0.000,4.446
1759064362.454380,30.098,arcade,2.150,0.010,1.374,0.284,0.011,0.000,0.003,0.000,4.761
1759064362.488024,33.784,arcade,2.099,0.007,4.037,0.362,0.013,0.000,0.003,0.000,4.782
1759064362.520657,31.786,arcade,2.964,0.010,1.313,0.318,0.018,0.000,0.005,0.000,4.762
1759064362.558337,37.445,arcade,3.290,0.012,2.433,2.564,0.011,0.000,0.003,0.000,4.879
1759064362.591989,33.018,arcade,2.319,0.007,1.793,0.400,0.016,0.000,0.004,0.000,5.130
1759064362.628000,35.082,arcade,2.511,0.010,2.348,0.419,0.017,0.000,0.005,0.000,7.438
1759064362.660620,32.405,arcade,2.780,0.010,2.355,0.469,0.016,0.000,0.005,0.000,4.472
1759064362.694752,33.943,arcade,2.070,0.007,2.630,2.415,0.009,0.000,0.003,0.000,3.878
1759064362.726339,31.038,arcade,2.080,0.006,1.567,0.302,0.040,0.000,0.003,0.000,3.381
1759064362.760903,34.507,arcade,2.053,0.006,2.210,2.618,0.009,0.000,0.003,0.000,3.890
1759064362.793522,31.429,arcade,2.655,0.008,1.610,0.685,0.016,0.000,0.004,0.000,4.160
1759064362.830635,36.899,arcade,2.500,0.008,2.211,2.640,0.009,0.000,0.003,0.000,4.140
1759064362.863607,32.273,arcade,2.190,0.009,1.625,0.322,0.020,0.000,0.006,0.000,5.089
1759064362.897396,33.318,arcade,1.952,0.009,2.433,2.855,0.013,0.000,0.004,0.000,4.908
1759064362.929326,31.577,arcade,2.300,0.007,2.101,0.890,0.028,0.000,0.008,0.000,4.671
1759064362.970555,40.347,arcade,2.135,0.007,3.358,0.524,0.013,0.000,0.004,0.000,7.816
1759064363.005075,34.559,arcade,2.570,0.029,1.622,0.354,0.015,0.000,0.004,0.000,4.093
1759064363.040232,34.627,arcade,2.032,0.007,2.605,1.254,0.024,0.000,0.009,0.000,5.384
1759064363.071299,30.680,arcade,2.343,0.007,1.734,0.299,0.012,0.000,0.004,0.000,4.387
1759064363.106704,34.772,arcade,2.041,0.006,3.062,0.536,0.019,0.000,0.003,0.000,7.168
1759064363.136238,29.152,arcade,2.186,0.006,1.500,0.371,0.013,0.000,0.003,0.000,4.196
1759064363.171873,36.010,arcade,2.147,0.011,2.578,2.885,0.011,0.000,0.003,0.000,4.225
1759064363.203086,30.266,arcade,2.473,0.007,1.479,0.287,0.012,0.000,0.003,0.000,4.359
1759064363.237199,33.056,arcade,2.079,0.007,2.217,0.675,0.018,0.000,0.006,0.000,6.134
1759064363.269146,31.515,arcade,2.098,0.009,1.739,0.292,0.011,0.000,0.003,0.000,3.904
1759064363.303184,33.670,arcade,2.143,0.013,4.735,0.346,0.009,0.000,0.002,0.000,4.084
1759064363.333537,30.334,arcade,2.184,0.007,2.026,0.566,0.013,0.000,0.004,0.000,3.736
1759064363.369125,34.906,arcade,2.082,0.006,5.211,0.408,0.009,0.000,0.003,0.000,4.881
1759064363.400758,30.766,arcade,2.195,0.008,1.485,0.811,0.013,0.000,0.004,0.000,4.091
1759064363.433655,32.363,arcade,1.973,0.007,3.814,0.280,0.013,0.000,0.003,0.000,4.130
1759064363.463098,29.057,arcade,2.076,0.009,1.813,0.306,0.015,0.000,0.006,0.000,3.416
1759064363.497458,33.681,arcade,2.098,0.006,2.608,0.702,0.023,0.000,0.005,0.000,5.889
1759064363.527128,29.595,arcade,2.201,0.009,1.528,0.337,0.010,0.000,0.003,0.000,4.221
1759064363.560227,33.073,arcade,2.042,0.008,2.087,2.551,0.009,0.000,0.002,0.000,3.833
1759064363.591825,31.005,arcade,2.400,0.008,1.646,0.290,0.013,0.000,0.004,0.000,4.294
1759064363.627442,35.070,arcade,2.877,0.009,2.245,2.370,0.009,0.000,0.003,0.000,4.220
1759064363.659049,30.932,arcade,2.155,0.009,1.552,0.395,0.013,0.000,0.005,0.000,4.905
1759064363.694096,34.129,arcade,2.072,0.009,4.937,0.311,0.010,0.000,0.003,0.000,4.349
1759064363.726227,31.944,arcade,2.137,0.009,1.543,0.355,0.016,0.000,0.003,0.000,5.498
1759064363.763050,36.654,arcade,1.998,0.007,2.732,3.797,0.013,0.000,0.004,0.000,4.380
1759064363.794902,31.197,arcade,2.144,0.007,2.353,1.187,0.027,0.000,0.006,0.000,4.040
1759064363.830380,34.495,arcade,2.329,0.008,2.939,2.348,0.009,0.000,0.003,0.000,3.931
1759064363.862016,31.745,arcade,2.553,0.011,1.680,0.504,0.017,0.000,0.004,0.000,4.156
1759064363.896646,33.957,arcade,2.170,0.006,2.237,2.060,0.011,0.000,0.003,0.000,4.970
1759064363.928705,31.761,arcade,2.308,0.012,1.583,0.511,0.016,0.000,0.005,0.000,5.170
1759064363.964324,35.160,arcade,2.054,0.006,4.139,0.583,0.017,0.000,0.004,0.000,4.280
1759064363.996400,30.978,arcade,2.134,0.007,1.625,0.655,0.016,0.000,0.004,0.000,4.532
1759064364.030495,34.036,arcade,2.151,0.011,2.317,2.866,0.010,0.000,0.002,0.000,3.868
1759064364.062121,31.514,arcade,2.292,0.008,1.919,0.703,0.016,0.000,0.003,0.000,5.046
1759064364.098572,35.729,arcade,2.275,0.008,2.981,3.858,0.012,0.000,0.003,0.000,4.082
1759064364.131021,31.593,arcade,2.114,0.009,1.600,0.830,0.027,0.000,0.006,0.000,5.567
1759064364.166408,35.616,arcade,2.117,0.007,3.289,2.897,0.010,0.000,0.003,0.000,4.439
1759064364.200032,32.899,arcade,2.140,0.006,1.855,0.948,0.019,0.000,0.005,0.000,5.122
1759064364.234131,33.548,arcade,2.483,0.009,4.284,0.628,0.009,0.000,0.003,0.000,3.140
1759064364.266191,31.412,arcade,2.534,0.008,1.663,0.529,0.014,0.000,0.005,0.000,3.193
1759064364.300336,34.271,arcade,2.348,0.007,4.330,0.870,0.009,0.000,0.002,0.000,3.946
1759064364.331336,30.473,arcade,2.152,0.008,1.605,0.496,0.012,0.000,0.003,0.000,4.231
1759064364.366126,33.435,arcade,2.265,0.007,2.277,2.668,0.010,0.000,0.002,0.000,4.039
1759064364.396248,30.380,arcade,2.107,0.008,1.396,0.558,0.014,0.000,0.003,0.000,4.617
1759064364.432992,35.793,arcade,2.087,0.006,5.300,0.537,0.010,0.000,0.003,0.000,4.861
1759064364.464793,32.037,arcade,2.645,0.007,1.493,0.675,0.026,0.000,0.007,0.000,5.714
1759064364.499911,34.630,arcade,1.993,0.007,2.724,3.996,0.011,0.000,0.003,0.000,4.696
1759064364.531556,30.375,arcade,2.266,0.011,2.271,1.780,0.013,0.000,0.003,0.000,3.802
1759064364.565174,33.749,arcade,2.023,0.007,5.582,0.447,0.009,0.000,0.003,0.000,3.796
1759064364.596715,30.598,arcade,2.196,0.011,1.593,0.473,0.019,0.000,0.006,0.000,4.330
1759064364.630393,33.834,arcade,2.166,0.009,4.782,0.568,0.009,0.000,0.002,0.000,3.849
1759064364.661148,30.332,arcade,2.326,0.011,2.072,0.576,0.014,0.000,0.003,0.000,4.150
1759064364.697183,35.077,arcade,2.613,0.007,4.456,0.590,0.009,0.000,0.002,0.000,4.796
1759064364.728827,31.118,arcade,2.022,0.009,1.561,0.648,0.015,0.000,0.005,0.000,5.006
1759064364.765448,36.225,arcade,2.077,0.006,4.576,0.629,0.019,0.000,0.006,0.000,5.192
1759064364.798554,32.571,arcade,2.144,0.007,1.623,0.544,0.018,0.000,0.007,0.000,4.986
1759064364.835690,36.692,arcade,2.065,0.007,6.474,0.596,0.009,0.000,0.003,0.000,3.115
1759064364.867877,31.922,arcade,2.145,0.007,2.832,1.075,0.012,0.000,0.004,0.000,4.394
1759064364.903025,34.890,arcade,2.199,0.007,2.122,3.011,0.009,0.000,0.002,0.000,4.411
1759064364.935671,31.895,arcade,2.186,0.010,1.644,0.533,0.025,0.000,0.005,0.000,5.482
1759064364.976834,40.587,arcade,2.162,0.006,2.521,2.546,0.009,0.000,0.003,0.000,4.153
1759064365.008837,31.819,arcade,2.173,0.012,1.862,0.539,0.016,0.000,0.005,0.000,4.742
1759064365.043509,33.950,arcade,2.146,0.014,2.399,2.758,0.011,0.000,0.002,0.000,4.128
1759064365.074304,30.772,arcade,2.294,0.007,2.164,0.523,0.017,0.000,0.005,0.000,3.772
1759064365.109429,34.405,arcade,2.090,0.007,4.874,0.523,0.010,0.000,0.003,0.000,4.159
1759064365.141077,31.157,arcade,2.273,0.012,1.747,0.818,0.009,0.000,0.003,0.000,4.438
1759064365.176834,35.265,arcade,2.367,0.010,5.215,0.633,0.015,0.000,0.003,0.000,4.522
1759064365.208127,31.304,arcade,3.222,0.006,1.384,0.573,0.013,0.000,0.003,0.000,4.285
1759064365.244120,35.137,arcade,2.110,0.009,2.392,2.500,0.009,0.000,0.003,0.000,4.034
1759064365.275159,30.601,arcade,2.104,0.011,1.589,0.484,0.018,0.000,0.004,0.000,4.267
1759064365.309016,33.266,arcade,2.041,0.009,2.521,2.762,0.009,0.000,0.002,0.000,3.930
1759064365.339801,31.013,arcade,2.110,0.010,1.738,0.658,0.012,0.000,0.003,0.000,3.242
1759064365.375877,35.257,arcade,2.123,0.012,4.360,0.615,0.016,0.000,0.005,0.000,4.597
1759064365.407959,31.746,arcade,2.072,0.006,1.638,0.568,0.015,0.000,0.005,0.000,4.468
1759064365.443075,34.940,arcade,2.111,0.014,4.727,0.539,0.010,0.000,0.002,0.000,3.902
1759064365.473560,29.841,arcade,2.372,0.005,1.460,0.524,0.017,0.000,0.005,0.000,4.069
1759064365.508420,33.903,arcade,2.318,0.011,2.397,2.558,0.009,0.000,0.002,0.000,4.114
