ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759064395.932697,645.958,arcade,0.679,0.007,45.986,0.722,0.019,0.000,0.005,0.000,195.460
1759064395.997143,46.556,arcade,0.895,0.015,2.749,0.402,0.026,0.000,0.005,0.000,8.704
1759064396.032679,32.851,arcade,0.923,0.022,1.655,0.544,0.010,0.000,0.004,0.000,5.136
1759064396.072806,38.245,arcade,0.869,0.005,1.715,0.554,0.020,0.000,0.005,0.000,6.529
1759064396.110354,37.911,arcade,0.942,0.007,1.685,0.463,0.011,0.000,0.003,0.000,9.469
1759064396.150644,39.029,arcade,1.077,0.010,1.393,0.420,0.013,0.000,0.003,0.000,10.667
1759064396.185190,33.913,arcade,1.000,0.007,1.548,0.456,0.011,0.000,0.003,0.000,6.669
1759064396.220204,34.430,arcade,1.056,0.007,1.382,0.385,0.010,0.000,0.003,0.000,5.534
1759064396.254802,33.979,arcade,0.967,0.007,1.544,0.386,0.011,0.000,0.004,0.000,7.755
1759064396.288386,33.843,arcade,0.748,0.005,1.839,0.436,0.011,0.000,0.003,0.000,4.656
1759064396.325491,33.597,arcade,1.357,0.006,1.649,0.467,0.014,0.000,0.005,0.000,5.372
1759064396.359932,34.670,arcade,0.880,0.005,1.839,0.520,0.018,0.000,0.004,0.000,8.457
1759064396.392289,31.443,arcade,1.478,0.003,1.415,0.448,0.017,0.000,0.004,0.000,5.627
1759064396.424155,31.230,arcade,0.818,0.005,1.395,0.343,0.010,0.000,0.003,0.000,5.133
1759064396.459333,34.306,arcade,0.911,0.006,1.650,0.358,0.015,0.000,0.003,0.000,5.250
1759064396.491420,31.870,arcade,0.738,0.006,2.061,0.564,0.018,0.000,0.006,0.000,5.293
1759064396.526232,33.526,arcade,0.763,0.007,2.341,0.656,0.018,0.000,0.004,0.000,4.829
1759064396.558836,32.482,arcade,0.802,0.005,3.490,0.426,0.013,0.000,0.003,0.000,4.727
1759064396.589918,30.739,arcade,0.760,0.005,1.379,0.393,0.011,0.000,0.003,0.000,4.333
1759064396.626011,34.794,arcade,0.773,0.006,1.465,0.463,0.015,0.000,0.004,0.000,8.312
1759064396.658383,32.257,arcade,1.452,0.009,1.485,0.514,0.012,0.000,0.005,0.000,4.772
1759064396.690991,31.734,arcade,0.845,0.006,1.942,0.553,0.016,0.000,0.004,0.000,5.119
1759064396.725502,33.200,arcade,0.819,0.005,3.172,0.625,0.018,0.000,0.006,0.000,5.551
1759064396.760643,34.571,arcade,0.770,0.007,1.528,0.450,0.012,0.000,0.004,0.000,5.702
1759064396.795877,35.345,arcade,0.662,0.005,1.508,2.355,0.019,0.000,0.005,0.000,6.931
1759064396.828495,31.986,arcade,0.888,0.007,1.378,0.434,0.010,0.000,0.004,0.000,4.323
1759064396.864774,35.270,arcade,1.003,0.007,1.731,0.432,0.010,0.000,0.004,0.000,7.642
1759064396.896145,31.625,arcade,0.751,0.006,1.454,0.380,0.010,0.000,0.003,0.000,4.717
1759064396.929544,32.243,arcade,0.851,0.007,2.238,0.580,0.019,0.000,0.005,0.000,4.896
1759064396.963660,34.247,arcade,0.721,0.005,1.942,0.513,0.022,0.000,0.005,0.000,5.868
1759064396.997394,32.912,arcade,0.872,0.006,1.588,0.473,0.013,0.000,0.005,0.000,4.671
1759064397.034260,35.556,arcade,1.054,0.011,1.444,0.514,0.011,0.000,0.005,0.000,9.036
1759064397.067613,33.462,arcade,0.959,0.006,2.390,1.135,0.016,0.000,0.004,0.000,4.465
1759064397.103867,35.185,arcade,0.795,0.007,2.061,0.568,0.014,0.000,0.004,0.000,8.331
1759064397.137018,32.026,arcade,0.678,0.005,1.755,0.696,0.013,0.000,0.004,0.000,3.725
1759064397.169652,32.297,arcade,0.836,0.006,1.734,0.536,0.023,0.000,0.006,0.000,4.852
1759064397.203232,33.663,arcade,1.561,0.004,1.617,0.670,0.018,0.000,0.005,0.000,5.141
1759064397.235873,31.430,arcade,0.804,0.006,1.652,0.460,0.014,0.000,0.004,0.000,4.430
1759064397.271162,34.830,arcade,0.789,0.006,1.442,0.429,0.016,0.000,0.004,0.000,8.025
1759064397.303257,31.975,arcade,0.880,0.006,1.486,0.398,0.012,0.000,0.003,0.000,4.623
1759064397.336087,32.150,arcade,0.744,0.005,2.287,0.608,0.013,0.000,0.003,0.000,4.975
1759064397.372999,35.854,arcade,1.430,0.004,2.084,0.471,0.015,0.000,0.005,0.000,5.005
1759064397.404969,31.691,arcade,0.891,0.004,2.126,0.426,0.020,0.000,0.005,0.000,5.265
1759064397.438571,32.732,arcade,0.801,0.005,1.443,0.447,0.019,0.000,0.006,0.000,4.640
1759064397.469649,31.353,arcade,0.805,0.024,1.580,0.437,0.017,0.000,0.005,0.000,4.393
1759064397.504354,33.957,arcade,0.927,0.011,1.352,0.331,0.015,0.000,0.004,0.000,5.948
1759064397.537711,32.356,arcade,0.727,0.006,1.578,0.476,0.012,0.000,0.004,0.000,4.708
1759064397.576913,38.699,arcade,0.689,0.004,1.576,0.346,0.015,0.000,0.006,0.000,4.682
1759064397.610011,32.684,arcade,0.967,0.008,1.475,0.377,0.018,0.000,0.005,0.000,4.687
1759064397.642127,31.800,arcade,0.643,0.005,1.967,0.473,0.021,0.000,0.006,0.000,5.307
1759064397.675196,32.612,arcade,0.694,0.005,3.714,0.343,0.018,0.000,0.004,0.000,4.493
1759064397.708782,32.343,arcade,0.803,0.006,1.451,0.380,0.015,0.000,0.004,0.000,4.511
1759064397.743312,34.593,arcade,0.963,0.006,1.453,0.360,0.014,0.000,0.006,0.000,6.436
1759064397.775432,31.200,arcade,0.755,0.007,1.385,0.655,0.016,0.000,0.004,0.000,4.707
1759064397.807353,32.581,arcade,0.661,0.004,1.794,0.886,0.018,0.000,0.006,0.000,4.755
1759064397.843395,34.615,arcade,0.766,0.004,4.469,0.635,0.022,0.000,0.006,0.000,5.180
1759064397.878483,35.192,arcade,0.873,0.006,1.625,0.445,0.018,0.000,0.004,0.000,4.970
1759064397.915263,35.974,arcade,1.240,0.008,1.339,0.501,0.016,0.000,0.004,0.000,8.453
1759064397.947839,31.195,arcade,0.775,0.005,1.652,0.375,0.012,0.000,0.006,0.000,4.935
1759064397.980239,32.446,arcade,0.688,0.005,2.343,0.517,0.019,0.000,0.005,0.000,5.047
1759064398.014187,33.465,arcade,0.762,0.006,3.927,0.452,0.022,0.000,0.006,0.000,5.055
1759064398.045602,31.255,arcade,0.991,0.005,1.612,0.444,0.024,0.000,0.008,0.000,4.338
1759064398.082779,35.978,arcade,1.194,0.006,1.549,0.372,0.015,0.000,0.006,0.000,4.608
1759064398.115425,32.723,arcade,1.348,0.011,1.520,0.462,0.012,0.000,0.004,0.000,4.470
1759064398.156857,40.025,arcade,1.208,0.005,1.714,0.464,0.018,0.000,0.004,0.000,6.307
1759064398.189439,32.301,arcade,1.259,0.007,1.376,0.320,0.012,0.000,0.003,0.000,4.110
1759064398.220527,30.968,arcade,0.690,0.003,1.722,0.486,0.015,0.000,0.004,0.000,4.769
1759064398.252137,30.653,arcade,0.777,0.004,1.355,0.412,0.014,0.000,0.003,0.000,4.641
1759064398.281760,29.636,arcade,0.737,0.004,1.651,0.349,0.012,0.000,0.004,0.000,4.635
1759064398.314912,31.939,arcade,0.901,0.005,1.358,0.300,0.010,0.000,0.003,0.000,4.059
1759064398.344131,28.889,arcade,0.724,0.005,1.477,0.339,0.014,0.000,0.004,0.000,3.178
1759064398.376235,31.350,arcade,0.743,0.005,2.251,0.370,0.018,0.000,0.005,0.000,4.699
1759064398.405494,30.187,arcade,0.700,0.004,3.302,0.364,0.012,0.000,0.004,0.000,4.200
1759064398.437082,29.966,arcade,0.839,0.005,1.376,0.366,0.012,0.000,0.006,0.000,4.025
1759064398.469829,32.448,arcade,0.827,0.005,1.507,0.310,0.011,0.000,0.003,0.000,4.056
1759064398.499900,29.671,arcade,0.702,0.004,1.677,0.448,0.012,0.000,0.003,0.000,3.453
1759064398.532521,32.016,arcade,0.606,0.004,1.913,0.588,0.020,0.000,0.007,0.000,4.937
1759064398.561666,28.858,arcade,0.694,0.004,3.252,0.598,0.022,0.000,0.006,0.000,4.135
1759064398.590740,28.262,arcade,0.694,0.004,1.327,0.342,0.010,0.000,0.003,0.000,4.688
1759064398.623013,32.233,arcade,1.135,0.008,1.307,0.332,0.007,0.000,0.002,0.000,4.057
1759064398.651559,27.961,arcade,0.739,0.006,1.429,0.375,0.011,0.000,0.003,0.000,4.311
1759064398.680862,28.617,arcade,0.707,0.004,1.511,0.351,0.013,0.000,0.003,0.000,4.957
1759064398.711590,30.546,arcade,0.670,0.004,1.375,0.348,0.016,0.000,0.004,0.000,4.546
1759064398.740248,27.744,arcade,0.643,0.004,1.408,0.327,0.011,0.000,0.003,0.000,3.181
1759064398.772506,32.404,arcade,0.802,0.005,1.254,0.282,0.009,0.000,0.003,0.000,3.941
1759064398.802293,29.309,arcade,0.774,0.005,1.419,0.298,0.009,0.000,0.003,0.000,4.441
1759064398.833441,30.527,arcade,0.692,0.004,1.758,0.414,0.013,0.000,0.004,0.000,4.929
1759064398.865144,31.135,arcade,0.789,0.006,3.340,0.393,0.017,0.000,0.005,0.000,4.114
