ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758722437.849929,84.721,arcade,0.717,56.251,10.350,1.175,0.002,0.000,0.004,0.000,3.083
1758722437.939518,85.824,arcade,0.962,67.497,4.707,0.348,0.002,0.000,0.005,0.000,2.612
1758722438.009278,68.981,arcade,0.696,55.609,3.079,0.334,0.001,0.000,0.003,0.000,2.394
1758722438.082603,71.471,arcade,1.158,56.611,3.297,0.366,0.001,0.000,0.002,0.000,2.861
1758722438.151775,68.697,arcade,0.752,55.161,3.093,0.348,0.002,0.000,0.002,0.000,3.245
1758722438.220284,67.289,arcade,0.892,55.872,3.179,0.283,0.001,0.000,0.004,0.000,0.794
1758722438.292809,71.772,arcade,0.901,56.406,3.045,0.373,0.001,0.000,0.002,0.000,2.508
1758722438.361358,68.268,arcade,0.885,54.774,3.101,0.321,0.001,0.000,0.002,0.000,2.430
1758722438.432870,71.188,arcade,2.272,54.277,4.439,0.408,0.001,0.000,0.003,0.000,3.093
1758722438.507355,73.831,arcade,0.815,58.729,4.036,0.323,0.001,0.000,0.002,0.000,2.390
1758722438.577140,69.293,arcade,0.914,56.731,3.236,0.280,0.001,0.000,0.003,0.000,1.108
1758722438.646812,70.189,arcade,0.851,58.588,3.252,0.318,0.001,0.000,0.003,0.000,0.773
1758722438.714531,67.386,arcade,0.883,55.324,3.081,0.330,0.002,0.000,0.003,0.000,0.901
1758722438.783039,67.946,arcade,0.876,55.885,3.285,0.314,0.001,0.000,0.002,0.000,0.757
1758722438.854056,70.019,arcade,0.881,58.218,3.058,0.559,0.002,0.000,0.003,0.000,1.193
1758722438.922914,68.843,arcade,1.293,56.709,3.039,0.602,0.001,0.000,0.003,0.000,0.781
1758722438.993616,70.191,arcade,0.836,57.398,3.395,0.251,0.001,0.000,0.002,0.000,0.757
1758722439.062578,68.290,arcade,0.847,55.840,3.909,0.315,0.001,0.000,0.002,0.000,1.142
1758722439.129916,67.056,arcade,0.912,54.652,3.347,0.344,0.001,0.000,0.003,0.000,0.824
1758722439.197595,67.266,arcade,0.976,54.596,3.316,0.344,0.001,0.000,0.002,0.000,1.068
1758722439.265778,67.232,arcade,1.262,54.917,3.145,0.272,0.001,0.000,0.002,0.000,0.811
1758722439.333863,67.283,arcade,0.875,55.591,3.005,0.567,0.001,0.000,0.002,0.000,0.763
1758722439.402626,68.662,arcade,0.929,55.447,3.609,0.514,0.002,0.000,0.004,0.000,1.272
1758722439.471918,69.178,arcade,0.952,57.496,3.353,0.286,0.001,0.000,0.003,0.000,0.114
1758722439.541875,68.936,arcade,0.887,57.363,2.936,0.311,0.002,0.000,0.003,0.000,0.798
1758722439.610463,69.105,arcade,1.015,56.330,3.084,0.288,0.001,0.000,0.008,0.000,0.788
