ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758638636.460615,272.589,arcade,0.792,67.849,11.214,0.990,0.002,0.000,0.005,0.000,186.895
1758638636.544533,80.972,arcade,0.851,68.641,4.485,0.296,0.002,0.000,0.005,0.000,3.283
1758638636.615737,69.134,arcade,1.014,58.364,3.219,0.013,0.001,0.000,0.004,0.000,3.146
1758638636.685233,69.385,arcade,0.741,57.626,3.375,0.016,0.001,0.000,0.003,0.000,4.326
1758638636.754638,69.135,arcade,0.778,57.698,3.434,0.308,0.001,0.000,0.003,0.000,4.120
1758638636.820340,64.847,arcade,1.164,56.278,3.615,0.017,0.001,0.000,0.002,0.000,0.932
1758638636.889866,68.741,arcade,2.035,58.703,3.198,0.015,0.001,0.000,0.003,0.000,1.041
1758638636.959461,68.203,arcade,1.936,58.605,3.278,0.341,0.001,0.000,0.003,0.000,0.852
1758638637.029416,69.417,arcade,0.882,58.141,3.398,0.010,0.001,0.000,0.007,0.000,3.130
1758638637.100471,71.291,arcade,1.078,58.716,3.382,0.015,0.001,0.000,0.003,0.000,4.919
1758638637.166933,65.310,arcade,0.788,56.632,3.439,0.235,0.001,0.000,0.003,0.000,0.895
1758638637.236350,69.334,arcade,0.925,61.125,3.274,0.248,0.001,0.000,0.002,0.000,0.873
1758638637.306672,69.701,arcade,0.955,59.499,4.363,0.273,0.001,0.000,0.003,0.000,1.285
1758638637.372086,64.945,arcade,0.949,55.921,3.645,0.012,0.001,0.000,0.004,0.000,1.009
1758638637.438405,66.794,arcade,1.044,58.630,2.997,0.015,0.002,0.000,0.003,0.000,0.915
1758638637.506024,67.278,arcade,1.212,58.799,3.176,0.015,0.002,0.000,0.002,0.000,0.938
1758638637.573637,66.754,arcade,0.956,57.917,3.365,0.019,0.001,0.000,0.006,0.000,1.218
1758638637.638559,65.107,arcade,0.920,56.930,3.142,0.255,0.001,0.000,0.003,0.000,0.869
1758638637.706228,67.161,arcade,0.943,58.027,3.472,0.277,0.001,0.000,0.003,0.000,1.038
1758638637.775394,68.735,arcade,0.870,59.602,3.601,0.236,0.001,0.000,0.003,0.000,0.841
1758638637.842150,66.047,arcade,0.960,56.772,4.318,0.302,0.002,0.000,0.003,0.000,0.933
1758638637.908502,66.395,arcade,1.042,57.952,3.093,0.014,0.001,0.000,0.003,0.000,0.947
1758638637.977214,68.360,arcade,0.945,59.288,3.083,0.333,0.002,0.000,0.003,0.000,0.848
1758638638.043207,65.875,arcade,0.920,57.712,3.000,0.014,0.001,0.000,0.003,0.000,1.341
1758638638.113645,69.135,arcade,1.328,57.594,3.286,0.271,0.001,0.000,0.004,0.000,1.875
1758638638.179252,65.835,arcade,0.835,58.009,3.105,0.244,0.001,0.000,0.002,0.000,0.181
1758638638.246635,66.677,arcade,0.959,57.412,4.396,0.299,0.001,0.000,0.003,0.000,0.861
1758638638.313178,66.262,arcade,0.876,57.669,3.011,0.286,0.001,0.000,0.002,0.000,1.063
1758638638.380369,66.387,arcade,1.271,56.681,3.557,0.245,0.001,0.000,0.003,0.000,0.856
1758638638.446260,66.409,arcade,0.896,57.900,3.202,0.309,0.002,0.000,0.003,0.000,0.976
1758638638.512389,65.016,arcade,0.878,56.578,3.219,0.008,0.001,0.000,0.003,0.000,0.963
1758638638.581950,69.257,arcade,1.009,59.952,3.602,0.449,0.002,0.000,0.006,0.000,1.367
1758638638.648365,66.291,arcade,1.001,57.524,3.135,0.445,0.001,0.000,0.003,0.000,0.167
1758638638.715766,66.846,arcade,0.953,58.860,3.357,0.266,0.001,0.000,0.003,0.000,0.192
1758638638.781129,65.394,arcade,0.923,57.212,2.997,0.014,0.001,0.000,0.003,0.000,0.936
1758638638.848347,67.256,arcade,1.441,57.000,4.200,0.498,0.002,0.000,0.005,0.000,1.098
