ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758638499.596386,119.883,opencv,0.751,86.237,1.352,1.205,0.000,0.000,0.000,0.000,0.234
1758638499.678686,81.478,opencv,1.174,57.608,0.771,0.924,0.000,0.000,0.000,0.000,0.170
1758638499.759222,80.931,opencv,0.942,57.953,0.799,1.070,0.000,0.000,0.000,0.000,0.158
1758638499.839245,79.901,opencv,1.095,56.731,0.908,1.367,0.000,0.000,0.000,0.000,0.317
1758638499.918432,78.840,opencv,1.058,55.541,0.792,1.145,0.000,0.000,0.000,0.000,0.186
1758638499.998303,79.872,opencv,0.990,56.356,0.903,1.483,0.000,0.000,0.000,0.000,0.185
1758638500.074705,75.962,opencv,1.064,53.061,0.738,1.249,0.000,0.000,0.000,0.000,0.194
1758638500.129725,55.067,opencv,1.127,28.365,0.784,0.699,0.000,0.000,0.000,0.000,0.171
1758638500.214342,84.826,opencv,1.005,61.111,1.111,0.760,0.000,0.000,0.000,0.000,0.151
1758638500.296057,81.127,opencv,0.988,59.892,0.815,0.656,0.000,0.000,0.000,0.000,0.198
1758638500.405113,108.962,opencv,1.260,84.801,0.984,1.418,0.000,0.000,0.000,0.000,0.162
1758638500.461762,56.161,opencv,1.132,32.613,0.886,0.596,0.000,0.000,0.000,0.000,0.210
1758638500.542836,81.142,opencv,0.958,58.690,0.839,0.792,0.000,0.000,0.000,0.000,0.218
1758638500.624574,82.240,opencv,0.957,59.609,0.901,0.787,0.000,0.000,0.000,0.000,0.234
1758638500.708444,82.957,opencv,1.176,59.377,0.880,0.637,0.000,0.000,0.000,0.000,0.156
1758638500.790428,81.827,opencv,1.023,59.883,0.807,0.739,0.000,0.000,0.000,0.000,0.184
1758638500.874228,84.166,opencv,1.041,60.879,1.018,0.868,0.000,0.000,0.000,0.000,0.232
1758638500.955952,80.722,opencv,0.926,58.712,1.028,0.694,0.000,0.000,0.000,0.000,0.159
1758638501.039250,83.814,opencv,1.074,60.842,1.098,0.913,0.000,0.000,0.000,0.000,0.325
1758638501.122329,82.951,opencv,0.940,60.702,1.085,0.726,0.000,0.000,0.000,0.000,0.190
1758638501.208203,86.121,opencv,1.222,61.354,0.885,0.672,0.000,0.000,0.000,0.000,0.176
1758638501.290203,80.973,opencv,1.006,58.924,0.778,0.751,0.000,0.000,0.000,0.000,0.143
1758638501.374768,84.722,opencv,1.053,61.419,0.726,0.411,0.000,0.000,0.000,0.000,0.184
1758638501.457472,82.766,opencv,0.922,59.554,0.848,0.850,0.000,0.000,0.000,0.000,0.182
