ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759326958.260792,608.432,arcade,0.777,0.009,43.408,0.960,0.024,0.000,0.009,0.000,168.836
1759326958.319229,45.864,arcade,0.850,0.010,3.112,0.334,0.015,0.000,0.005,0.000,6.827
1759326958.354863,34.414,arcade,0.790,0.004,4.111,0.498,0.011,0.000,0.003,0.000,4.069
1759326958.390565,33.580,arcade,1.172,0.007,2.274,0.606,0.015,0.000,0.003,0.000,6.111
1759326958.428280,37.280,arcade,0.821,0.006,1.500,0.349,0.014,0.000,0.003,0.000,9.758
1759326958.464357,35.720,arcade,0.793,0.004,1.291,0.318,0.009,0.000,0.003,0.000,8.016
1759326958.501727,36.739,arcade,0.766,0.004,3.292,0.313,0.012,0.000,0.004,0.000,6.786
1759326958.534315,31.815,arcade,0.772,0.005,1.558,0.306,0.008,0.000,0.002,0.000,4.154
1759326958.567921,33.332,arcade,0.838,0.005,1.573,0.405,0.014,0.000,0.004,0.000,7.447
1759326958.603088,34.662,arcade,0.810,0.004,1.432,0.307,0.008,0.000,0.003,0.000,7.084
1759326958.638318,34.600,arcade,1.163,0.005,1.463,0.441,0.010,0.000,0.003,0.000,7.901
1759326958.671385,32.192,arcade,0.819,0.005,1.438,0.297,0.008,0.000,0.003,0.000,6.142
1759326958.706741,34.888,arcade,1.144,0.008,1.377,0.366,0.010,0.000,0.003,0.000,7.289
1759326958.737830,29.932,arcade,0.850,0.006,1.374,0.327,0.008,0.000,0.003,0.000,4.008
1759326958.770407,31.965,arcade,0.783,0.004,2.011,0.305,0.011,0.000,0.004,0.000,4.273
1759326958.800080,30.093,arcade,1.291,0.003,1.436,0.404,0.008,0.000,0.003,0.000,4.808
1759326958.835653,34.869,arcade,0.870,0.004,1.433,0.299,0.009,0.000,0.003,0.000,4.587
1759326958.871858,35.812,arcade,0.799,0.005,3.193,0.383,0.008,0.000,0.003,0.000,4.916
1759326958.903123,30.099,arcade,0.819,0.004,1.336,0.328,0.010,0.000,0.003,0.000,4.168
1759326958.938922,35.228,arcade,0.953,0.007,1.386,0.312,0.013,0.000,0.004,0.000,7.490
1759326958.971035,31.617,arcade,1.492,0.011,1.433,0.322,0.008,0.000,0.003,0.000,4.379
1759326959.007932,36.126,arcade,1.217,0.008,1.770,0.303,0.013,0.000,0.003,0.000,7.998
1759326959.041539,32.907,arcade,0.880,0.006,1.585,0.390,0.008,0.000,0.003,0.000,5.180
1759326959.075211,33.814,arcade,0.863,0.005,1.368,0.288,0.009,0.000,0.003,0.000,7.606
1759326959.106817,31.592,arcade,0.962,0.006,1.362,0.312,0.009,0.000,0.003,0.000,3.982
1759326959.138501,30.368,arcade,0.782,0.004,1.575,0.534,0.012,0.000,0.004,0.000,4.259
1759326959.169586,30.811,arcade,0.745,0.004,3.248,0.341,0.015,0.000,0.003,0.000,4.427
1759326959.200855,30.634,arcade,0.782,0.004,1.352,0.308,0.011,0.000,0.003,0.000,4.139
1759326959.235450,33.832,arcade,0.844,0.006,1.179,0.294,0.009,0.000,0.003,0.000,7.833
1759326959.265368,29.873,arcade,0.963,0.005,1.506,0.327,0.010,0.000,0.003,0.000,3.114
1759326959.295484,29.760,arcade,0.781,0.004,1.707,0.317,0.009,0.000,0.003,0.000,3.922
1759326959.327071,31.243,arcade,1.673,0.003,1.287,0.409,0.009,0.000,0.003,0.000,4.150
1759326959.357635,29.729,arcade,0.789,0.005,1.424,0.412,0.009,0.000,0.003,0.000,3.947
