ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759326988.276747,488.263,arcade,0.794,0.008,35.422,0.646,0.018,0.000,0.005,0.000,67.781
1759326988.328836,42.678,arcade,0.999,0.012,2.468,0.266,0.016,0.000,0.007,0.000,3.248
1759326988.363465,31.272,arcade,1.022,0.007,4.147,0.282,0.013,0.000,0.004,0.000,3.408
1759326988.398170,32.770,arcade,0.920,0.005,1.480,0.639,0.018,0.000,0.005,0.000,5.402
1759326988.433342,35.218,arcade,0.687,0.004,1.572,2.019,0.022,0.000,0.006,0.000,7.132
1759326988.464430,30.172,arcade,0.778,0.004,1.578,0.475,0.011,0.000,0.006,0.000,3.291
1759326988.493657,29.070,arcade,0.925,0.005,1.524,0.294,0.009,0.000,0.003,0.000,3.221
1759326988.522281,28.037,arcade,0.829,0.008,2.741,0.424,0.009,0.000,0.004,0.000,1.134
1759326988.549839,26.653,arcade,0.799,0.005,1.961,0.494,0.014,0.000,0.005,0.000,1.516
1759326988.577409,27.408,arcade,0.796,0.005,2.286,0.416,0.018,0.000,0.005,0.000,1.213
1759326988.606116,28.037,arcade,1.601,0.012,3.074,0.332,0.008,0.000,0.004,0.000,1.027
1759326988.634194,27.324,arcade,0.792,0.005,1.253,0.620,0.012,0.000,0.003,0.000,0.876
1759326988.660756,26.647,arcade,0.732,0.004,1.768,0.342,0.009,0.000,0.004,0.000,1.711
1759326988.691414,29.539,arcade,0.923,0.006,1.340,0.395,0.015,0.000,0.004,0.000,1.154
1759326988.718514,27.227,arcade,0.971,0.005,1.512,0.340,0.011,0.000,0.003,0.000,0.957
1759326988.747645,28.159,arcade,0.860,0.004,1.738,0.396,0.014,0.000,0.006,0.000,1.327
1759326988.774741,26.753,arcade,0.777,0.004,3.591,0.349,0.012,0.000,0.004,0.000,1.081
1759326988.803356,27.973,arcade,0.833,0.005,1.273,0.328,0.010,0.000,0.004,0.000,1.136
1759326988.830952,27.777,arcade,0.685,0.004,1.951,0.605,0.017,0.000,0.005,0.000,1.185
1759326988.860537,28.468,arcade,0.749,0.004,3.464,0.427,0.012,0.000,0.008,0.000,1.604
1759326988.888144,27.905,arcade,1.379,0.010,1.219,0.335,0.010,0.000,0.006,0.000,0.920
1759326988.915513,26.953,arcade,1.082,0.010,2.074,0.483,0.014,0.000,0.006,0.000,1.395
1759326988.943590,27.297,arcade,0.907,0.006,3.105,0.383,0.013,0.000,0.005,0.000,1.349
1759326988.970659,26.373,arcade,0.829,0.005,1.246,0.424,0.038,0.000,0.006,0.000,1.149
1759326988.996252,25.667,arcade,0.888,0.004,1.464,0.444,0.015,0.000,0.003,0.000,1.101
1759326989.027427,30.032,arcade,0.942,0.007,1.404,0.358,0.013,0.000,0.005,0.000,1.283
1759326989.053687,26.333,arcade,0.808,0.004,1.513,0.349,0.010,0.000,0.004,0.000,0.131
1759326989.080751,26.233,arcade,0.858,0.005,1.906,0.363,0.011,0.000,0.004,0.000,1.445
1759326989.109024,27.878,arcade,1.034,0.007,3.556,0.437,0.014,0.000,0.005,0.000,1.095
1759326989.140624,30.462,arcade,1.022,0.007,1.491,0.390,0.010,0.000,0.003,0.000,0.884
1759326989.167207,26.985,arcade,0.948,0.005,1.387,0.303,0.015,0.000,0.004,0.000,0.873
1759326989.195834,27.543,arcade,0.772,0.005,3.226,0.393,0.012,0.000,0.005,0.000,1.100
1759326989.224437,28.084,arcade,0.851,0.004,1.448,0.585,0.011,0.000,0.003,0.000,1.018
1759326989.250499,26.293,arcade,0.825,0.004,1.922,0.412,0.018,0.000,0.005,0.000,1.268
1759326989.278627,26.783,arcade,1.134,0.006,2.817,0.360,0.012,0.000,0.014,0.000,1.083
1759326989.304277,25.792,arcade,0.818,0.005,1.653,0.378,0.013,0.000,0.005,0.000,1.062
1759326989.332431,27.584,arcade,0.842,0.004,1.714,0.515,0.016,0.000,0.006,0.000,1.448
1759326989.361506,29.063,arcade,1.051,0.006,3.848,0.438,0.016,0.000,0.005,0.000,0.160
1759326989.389111,27.434,arcade,0.857,0.005,1.386,0.394,0.010,0.000,0.003,0.000,0.978
1759326989.416147,26.258,arcade,0.868,0.006,1.583,0.481,0.013,0.000,0.006,0.000,1.113
1759326989.445717,29.079,arcade,1.080,0.007,1.655,0.442,0.018,0.000,0.006,0.000,1.061
1759326989.472775,26.168,arcade,0.823,0.004,1.301,0.319,0.010,0.000,0.003,0.000,1.098
1759326989.498934,25.692,arcade,0.713,0.004,1.542,0.352,0.015,0.000,0.004,0.000,1.349
1759326989.529023,29.331,arcade,0.965,0.007,3.471,0.333,0.012,0.000,0.004,0.000,1.050
