ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759018623.739935,111.154,opencv,0.850,69.847,1.158,0.571,0.000,0.000,0.000,0.000,0.205
1759018623.845121,104.872,opencv,1.265,72.048,0.742,0.854,0.000,0.000,0.000,0.000,0.226
1759018623.947935,103.053,opencv,1.117,71.987,0.652,0.530,0.000,0.000,0.000,0.000,0.215
1759018624.048685,101.409,opencv,1.283,70.198,0.668,0.684,0.000,0.000,0.000,0.000,0.209
1759018624.152253,102.676,opencv,1.413,70.709,0.861,0.688,0.000,0.000,0.000,0.000,0.218
1759018624.253694,101.129,opencv,1.293,69.674,0.697,0.532,0.000,0.000,0.000,0.000,0.182
1759018624.355774,102.122,opencv,1.390,70.369,0.761,0.520,0.000,0.000,0.000,0.000,0.183
1759018624.460074,103.815,opencv,1.346,70.991,0.845,0.511,0.000,0.000,0.000,0.000,0.207
1759018624.563695,103.494,opencv,1.358,72.113,0.752,0.529,0.000,0.000,0.000,0.000,0.223
1759018624.666861,102.697,opencv,1.361,69.213,0.829,0.697,0.000,0.000,0.000,0.000,0.226
1759018624.771173,104.006,opencv,1.372,71.218,0.795,0.684,0.000,0.000,0.000,0.000,0.237
1759018624.872091,101.790,opencv,1.342,69.805,0.722,0.535,0.000,0.000,0.000,0.000,0.194
1759018624.976630,103.226,opencv,1.394,71.040,0.860,0.522,0.000,0.000,0.000,0.000,0.177
1759018625.081068,105.129,opencv,1.738,72.075,0.635,0.530,0.000,0.000,0.000,0.000,0.168
1759018625.184977,102.952,opencv,1.348,69.500,0.685,0.557,0.000,0.000,0.000,0.000,0.150
1759018625.289174,104.777,opencv,1.770,70.824,0.796,1.033,0.000,0.000,0.000,0.000,0.195
1759018625.394117,104.400,opencv,1.361,72.168,0.768,0.705,0.000,0.000,0.000,0.000,0.236
1759018625.496132,101.755,opencv,1.371,69.584,0.829,0.874,0.000,0.000,0.000,0.000,0.230
1759018625.599067,103.188,opencv,1.207,70.648,0.721,0.847,0.000,0.000,0.000,0.000,0.211
1759018625.702408,102.751,opencv,1.555,70.859,0.660,0.690,0.000,0.000,0.000,0.000,0.277
1759018625.805777,103.248,opencv,1.418,71.258,0.720,0.517,0.000,0.000,0.000,0.000,0.240
1759018625.910259,104.189,opencv,1.341,72.453,0.619,0.521,0.000,0.000,0.000,0.000,0.209
1759018626.013600,103.205,opencv,1.940,70.183,0.697,0.687,0.000,0.000,0.000,0.000,0.269
1759018626.117455,103.872,opencv,1.383,71.297,0.728,0.541,0.000,0.000,0.000,0.000,0.255
1759018626.221224,104.411,opencv,1.461,72.081,0.636,0.686,0.000,0.000,0.000,0.000,0.247
1759018626.325140,102.693,opencv,1.293,70.802,0.648,0.518,0.000,0.000,0.000,0.000,0.212
1759018626.427871,103.123,opencv,1.232,71.630,0.944,0.524,0.000,0.000,0.000,0.000,0.196
1759018626.531030,102.200,opencv,1.394,70.337,0.722,0.525,0.000,0.000,0.000,0.000,0.231
1759018626.630299,99.142,opencv,1.322,68.236,0.744,0.555,0.000,0.000,0.000,0.000,0.219
1759018626.732224,103.004,opencv,1.273,70.274,0.923,0.516,0.000,0.000,0.000,0.000,0.217
1759018626.835080,101.529,opencv,1.599,69.546,0.666,0.523,0.000,0.000,0.000,0.000,0.211
1759018626.939908,104.995,opencv,1.590,73.289,0.702,0.866,0.000,0.000,0.000,0.000,0.196
1759018627.043912,103.824,opencv,1.219,70.690,0.789,0.857,0.000,0.000,0.000,0.000,0.197
1759018627.142208,99.162,opencv,1.268,67.466,0.714,0.853,0.000,0.000,0.000,0.000,0.219
1759018627.245251,101.941,opencv,1.919,69.600,0.819,0.864,0.000,0.000,0.000,0.000,0.231
1759018627.344617,99.710,opencv,1.137,67.948,0.866,0.690,0.000,0.000,0.000,0.000,0.232
1759018627.457748,112.309,opencv,1.152,67.665,0.789,0.530,0.002,0.003,0.008,0.000,0.247
1759018627.550468,92.514,opencv,1.463,69.943,0.764,0.652,0.035,0.006,0.007,0.000,0.259
1759018627.640610,90.726,opencv,1.385,68.492,0.813,0.891,0.035,0.008,0.004,0.000,0.211
1759018627.733851,92.465,opencv,1.187,69.494,0.760,0.900,0.038,0.008,0.006,0.000,0.258
1759018627.824600,91.043,opencv,1.552,69.007,0.698,0.847,0.035,0.006,0.005,0.000,0.238
1759018627.917028,91.902,opencv,1.215,69.977,0.793,0.703,0.042,0.006,0.005,0.000,0.226
1759018628.072642,155.230,opencv,1.263,69.077,0.899,0.875,0.040,0.008,63.320,0.000,0.244
1759018628.165120,93.170,opencv,2.139,70.343,0.892,0.720,0.040,0.007,0.004,0.000,0.262
1759018628.254254,89.186,opencv,1.290,67.249,0.805,0.684,0.040,0.006,0.004,0.000,0.249
1759018628.345986,90.673,opencv,1.245,68.860,0.736,0.705,0.041,0.007,0.005,0.000,0.295
1759018628.497989,152.305,opencv,1.265,68.208,0.823,0.860,0.063,0.009,61.742,0.000,0.209
1759018628.584998,86.763,opencv,1.201,64.722,0.733,0.830,0.075,0.008,0.005,0.000,0.255
1759018628.674783,89.099,opencv,1.268,67.610,0.792,0.690,0.089,0.008,0.007,0.000,0.247
1759018628.828331,153.424,opencv,1.303,68.215,0.773,0.874,0.076,0.009,62.799,0.000,0.212
1759018628.919163,91.218,opencv,1.294,68.679,0.836,0.905,0.080,0.008,0.005,0.000,0.260
1759018629.009288,89.824,opencv,1.314,67.503,0.847,0.866,0.082,0.009,0.005,0.000,0.264
