ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758721940.717742,97.584,opencv,0.751,56.756,1.820,1.289,0.000,0.000,0.000,0.000,0.159
1758721940.810256,91.010,opencv,2.050,58.881,1.024,0.917,0.000,0.000,0.000,0.000,0.159
1758721940.895580,85.009,opencv,1.534,56.680,0.954,0.743,0.000,0.000,0.000,0.000,0.159
1758721940.993522,98.003,opencv,1.008,68.541,0.890,0.521,0.000,0.000,0.000,0.000,0.170
1758721941.079228,85.780,opencv,1.661,58.874,0.838,0.636,0.000,0.000,0.000,0.000,0.144
1758721941.166689,88.263,opencv,1.050,59.382,1.053,0.682,0.000,0.000,0.000,0.000,0.172
1758721941.255530,88.360,opencv,1.136,62.429,0.907,0.621,0.000,0.000,0.000,0.000,0.210
1758721941.340339,83.580,opencv,1.049,57.174,0.961,0.743,0.000,0.000,0.000,0.000,0.157
1758721941.423472,82.792,opencv,1.290,56.910,0.942,0.876,0.000,0.000,0.000,0.000,0.153
1758721941.505775,82.211,opencv,1.214,56.078,0.781,0.827,0.000,0.000,0.000,0.000,0.143
1758721941.588726,83.512,opencv,1.084,57.831,0.910,0.800,0.000,0.000,0.000,0.000,0.154
1758721941.675073,86.061,opencv,1.077,58.558,0.901,0.820,0.000,0.000,0.000,0.000,0.191
1758721941.759348,84.502,opencv,1.138,58.195,0.863,0.844,0.000,0.000,0.000,0.000,0.170
1758721941.843524,83.574,opencv,1.365,56.169,0.929,0.785,0.000,0.000,0.000,0.000,0.183
1758721941.928646,84.843,opencv,1.346,57.289,1.372,1.105,0.000,0.000,0.000,0.000,0.169
1758721942.010691,82.795,opencv,1.094,57.375,0.947,0.799,0.000,0.000,0.000,0.000,0.173
1758721942.094358,82.635,opencv,1.230,56.614,0.887,0.765,0.000,0.000,0.000,0.000,0.219
1758721942.178474,84.133,opencv,1.456,56.678,1.261,0.996,0.000,0.000,0.000,0.000,0.171
1758721942.263493,84.618,opencv,1.056,59.236,0.931,0.782,0.000,0.000,0.000,0.000,0.171
1758721942.347003,83.592,opencv,1.344,58.291,0.874,0.782,0.000,0.000,0.000,0.000,0.162
1758721942.431426,84.123,opencv,1.177,56.827,1.176,0.965,0.000,0.000,0.000,0.000,0.171
1758721942.513440,81.761,opencv,1.048,55.730,0.910,0.761,0.000,0.000,0.000,0.000,0.242
1758721942.597124,83.978,opencv,1.242,57.507,0.889,0.853,0.000,0.000,0.000,0.000,0.193
1758721942.680829,83.973,opencv,1.080,58.008,1.092,1.006,0.000,0.000,0.000,0.000,0.180
1758721942.765585,84.561,opencv,1.072,56.911,1.134,0.966,0.000,0.000,0.000,0.000,0.160
1758721942.848389,82.789,opencv,1.075,57.534,0.943,0.653,0.000,0.000,0.000,0.000,0.128
1758721942.932573,83.602,opencv,1.108,57.180,0.844,0.846,0.000,0.000,0.000,0.000,0.176
1758721943.015007,82.201,opencv,1.091,55.513,0.877,0.752,0.000,0.000,0.000,0.000,0.161
1758721943.101251,86.693,opencv,1.076,58.622,0.998,0.961,0.000,0.000,0.000,0.000,0.148
