ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758722063.890099,104.563,opencv,5.054,64.776,1.289,0.871,0.000,0.000,0.000,0.000,0.164
1758722063.981493,90.217,opencv,4.844,56.727,1.014,1.080,0.000,0.000,0.000,0.000,0.163
1758722064.067464,86.041,opencv,2.362,58.539,0.688,0.758,0.000,0.000,0.000,0.000,0.177
1758722064.151678,84.765,opencv,2.623,57.022,0.882,0.857,0.000,0.000,0.000,0.000,0.191
1758722064.239045,86.987,opencv,3.106,58.283,1.166,1.037,0.000,0.000,0.000,0.000,0.153
1758722064.323797,84.824,opencv,2.608,56.692,0.925,0.634,0.000,0.000,0.000,0.000,0.161
1758722064.411372,88.254,opencv,2.239,59.219,0.898,1.002,0.000,0.000,0.000,0.000,0.184
1758722064.499995,86.572,opencv,2.400,58.736,0.900,0.827,0.000,0.000,0.000,0.000,0.191
1758722064.582673,83.184,opencv,2.460,55.590,0.799,0.838,0.000,0.000,0.000,0.000,0.152
1758722064.669593,86.704,opencv,2.906,58.040,0.904,1.006,0.000,0.000,0.000,0.000,0.150
1758722064.775887,106.970,opencv,2.316,78.678,0.890,1.529,0.000,0.000,0.000,0.000,0.163
1758722064.857582,80.605,opencv,2.966,51.872,0.868,1.444,0.000,0.000,0.000,0.000,0.169
1758722064.934894,77.204,opencv,2.466,48.541,1.102,1.468,0.000,0.000,0.000,0.000,0.198
1758722065.014431,79.309,opencv,2.412,51.134,0.937,1.534,0.000,0.000,0.000,0.000,0.210
1758722065.096070,81.513,opencv,2.974,51.604,1.058,1.741,0.000,0.000,0.000,0.000,0.179
1758722065.180435,84.364,opencv,2.641,54.638,0.894,1.786,0.000,0.000,0.000,0.000,0.194
1758722065.261660,81.521,opencv,2.319,53.673,0.796,1.413,0.000,0.000,0.000,0.000,0.183
1758722065.340987,78.717,opencv,2.297,50.457,0.939,1.550,0.000,0.000,0.000,0.000,0.157
1758722065.422534,81.394,opencv,2.373,52.740,0.699,1.533,0.000,0.000,0.000,0.000,0.168
1758722065.501243,79.220,opencv,2.404,50.908,0.924,1.453,0.000,0.000,0.000,0.000,0.180
1758722065.579908,78.481,opencv,2.439,49.851,1.023,1.565,0.000,0.000,0.000,0.000,0.302
1758722065.659988,79.623,opencv,2.333,51.377,0.914,1.415,0.000,0.000,0.000,0.000,0.259
1758722065.737669,77.978,opencv,2.982,49.385,0.886,1.421,0.000,0.000,0.000,0.000,0.126
1758722065.817502,78.911,opencv,2.243,50.136,0.901,1.598,0.000,0.000,0.000,0.000,0.157
1758722065.957413,139.755,opencv,2.417,49.779,0.821,1.564,0.001,0.003,49.756,0.000,0.348
1758722066.082778,125.068,opencv,2.435,50.192,1.251,1.444,0.022,0.009,52.859,0.000,0.342
1758722066.204946,122.497,opencv,2.635,50.323,0.709,1.553,0.029,0.007,50.795,0.000,0.227
1758722066.329056,123.769,opencv,2.444,50.756,0.785,1.561,0.026,0.008,52.405,0.000,0.256
1758722066.452717,123.897,opencv,2.331,50.839,0.797,1.356,0.030,0.007,53.099,0.000,0.250
1758722066.524038,71.066,opencv,2.405,49.884,0.929,1.505,0.040,0.009,0.005,0.000,0.322
1758722066.647919,123.564,opencv,2.419,49.854,0.772,1.465,0.032,0.008,52.425,0.000,0.212
1758722066.773778,125.701,opencv,2.478,51.257,0.768,1.526,0.038,0.009,53.938,0.000,0.250
1758722066.845091,71.932,opencv,2.612,50.302,0.774,1.386,0.050,0.011,0.003,0.000,0.220
1758722066.970350,124.729,opencv,2.645,52.105,0.738,1.363,0.063,0.009,52.486,0.000,0.230
1758722067.097261,127.237,opencv,3.165,50.667,1.061,1.639,0.054,0.010,53.741,0.000,0.363
1758722067.175706,78.703,opencv,2.614,55.039,0.806,2.347,0.098,0.016,0.008,0.000,0.207
1758722067.300881,123.752,opencv,3.777,50.367,1.445,1.446,0.054,0.011,49.836,0.000,0.380
1758722067.372369,71.295,opencv,2.335,50.788,0.949,1.430,0.052,0.010,0.003,0.000,0.254
1758722067.498286,126.677,opencv,2.391,50.388,1.175,1.422,0.318,0.014,53.090,0.000,0.294
1758722067.626407,128.038,opencv,2.283,53.096,1.118,1.584,0.284,0.008,53.598,0.000,0.351
1758722067.699513,73.567,opencv,3.734,49.647,1.280,1.530,0.047,0.012,0.247,0.000,0.330
1758722067.827348,126.383,opencv,2.445,50.417,0.654,1.649,0.210,0.013,54.349,0.000,0.267
1758722067.900436,72.884,opencv,3.448,51.008,0.777,1.275,0.196,0.008,0.393,0.000,0.292
1758722068.025168,124.767,opencv,2.355,49.832,0.737,1.094,0.190,0.007,54.626,0.000,0.207
1758722068.152794,127.279,opencv,2.580,50.130,0.709,0.914,0.028,0.004,55.818,0.000,0.257
1758722068.225424,72.598,opencv,3.995,50.144,0.909,1.139,0.032,0.006,0.588,0.000,0.232
1758722068.351674,126.043,opencv,2.318,52.934,0.841,0.957,0.026,0.006,52.516,0.000,0.224
1758722068.477302,126.071,opencv,2.372,50.012,1.207,1.666,0.029,0.007,53.894,0.000,0.375
1758722068.552511,74.266,opencv,2.408,52.445,1.180,0.899,0.048,0.006,0.227,0.000,0.340
1758722068.677398,125.164,opencv,2.792,48.855,1.124,1.327,0.053,0.008,54.447,0.000,0.330
1758722068.754006,75.999,opencv,4.867,49.450,1.295,1.455,0.065,0.012,0.114,0.000,0.361
1758722068.877959,124.595,opencv,2.438,50.078,0.921,1.439,0.054,0.010,52.926,0.000,0.212
1758722069.004358,126.323,opencv,2.348,52.688,0.839,1.557,0.055,0.010,53.108,0.000,0.267
1758722069.079749,74.601,opencv,2.359,51.357,1.193,1.368,0.054,0.010,0.003,0.000,0.340
