ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759025338.756437,128.208,opencv,0.776,96.991,1.029,1.074,0.000,0.000,0.000,0.000,0.266
1759025338.845786,88.470,opencv,1.072,62.931,0.749,0.859,0.000,0.000,0.000,0.000,0.205
1759025338.936163,90.341,opencv,1.098,64.607,0.671,0.906,0.000,0.000,0.000,0.000,0.170
1759025339.026978,90.287,opencv,1.213,63.533,0.669,0.886,0.000,0.000,0.000,0.000,0.215
1759025339.112177,85.436,opencv,1.072,60.633,0.893,0.873,0.000,0.000,0.000,0.000,0.169
1759025339.197597,85.251,opencv,1.194,59.931,0.664,1.112,0.000,0.000,0.000,0.000,0.166
1759025339.287289,89.405,opencv,1.221,62.664,0.676,1.312,0.000,0.000,0.000,0.000,0.174
1759025339.376970,89.788,opencv,1.033,63.959,0.694,0.991,0.000,0.000,0.000,0.000,0.220
1759025339.462831,86.574,opencv,1.005,61.826,0.665,1.119,0.000,0.000,0.000,0.000,0.224
1759025339.544710,81.459,opencv,1.503,57.830,0.683,0.983,0.000,0.000,0.000,0.000,0.171
1759025339.625350,80.308,opencv,1.124,56.605,0.728,0.995,0.000,0.000,0.000,0.000,0.190
1759025339.707188,81.479,opencv,1.056,56.893,0.790,0.970,0.000,0.000,0.000,0.000,0.219
1759025339.789408,82.155,opencv,1.098,57.539,0.663,1.096,0.000,0.000,0.000,0.000,0.214
1759025339.875148,85.470,opencv,1.203,59.574,0.677,1.152,0.000,0.000,0.000,0.000,0.220
1759025339.955470,81.211,opencv,1.077,56.638,0.675,1.045,0.000,0.000,0.000,0.000,0.198
1759025340.044487,88.130,opencv,0.989,60.667,0.768,1.003,0.000,0.000,0.000,0.000,0.216
1759025340.132399,87.701,opencv,1.265,61.809,0.658,1.060,0.000,0.000,0.000,0.000,0.191
1759025340.222622,90.024,opencv,1.274,63.874,0.743,1.163,0.000,0.000,0.000,0.000,0.241
1759025340.311838,88.986,opencv,1.132,62.926,0.734,0.995,0.000,0.000,0.000,0.000,0.212
1759025340.399870,87.924,opencv,1.066,62.515,0.685,0.996,0.000,0.000,0.000,0.000,0.187
1759025340.488726,89.455,opencv,1.501,63.144,0.671,0.990,0.000,0.000,0.000,0.000,0.207
1759025340.578651,89.557,opencv,1.123,63.515,0.679,0.989,0.000,0.000,0.000,0.000,0.212
1759025340.667925,88.490,opencv,1.517,61.480,0.788,0.997,0.000,0.000,0.000,0.000,0.318
1759025340.759532,91.464,opencv,1.097,65.309,0.664,0.994,0.000,0.000,0.000,0.000,0.229
1759025340.849557,90.377,opencv,1.220,61.136,0.866,1.011,0.000,0.000,0.000,0.000,0.222
1759025340.948560,98.438,opencv,1.791,69.609,0.684,1.120,0.000,0.000,0.000,0.000,0.226
1759025341.047385,98.803,opencv,1.367,68.152,0.687,0.999,0.000,0.000,0.000,0.000,0.204
1759025341.165363,118.115,opencv,1.979,82.507,0.984,1.211,0.000,0.000,0.000,0.000,0.225
1759025341.277153,110.995,opencv,2.452,76.693,1.985,1.033,0.000,0.000,0.000,0.000,0.224
1759025341.375133,97.512,opencv,1.237,68.291,1.386,1.065,0.000,0.000,0.000,0.000,0.217
1759025341.482958,107.875,opencv,3.220,73.880,0.760,1.144,0.000,0.000,0.000,0.000,0.211
1759025341.584522,101.704,opencv,1.171,74.978,0.867,0.993,0.000,0.000,0.000,0.000,0.213
1759025341.685642,100.720,opencv,1.088,74.385,0.657,1.025,0.000,0.000,0.000,0.000,0.227
1759025341.784293,98.767,opencv,1.707,72.020,0.744,1.002,0.000,0.000,0.000,0.000,0.210
1759025341.886449,101.789,opencv,1.182,73.374,0.940,1.242,0.000,0.000,0.000,0.000,0.258
1759025341.985684,99.156,opencv,2.868,70.629,0.792,0.997,0.000,0.000,0.000,0.000,0.211
1759025342.085359,99.129,opencv,1.522,72.237,0.681,1.006,0.000,0.000,0.000,0.000,0.222
1759025342.185256,100.280,opencv,1.286,72.216,0.793,1.044,0.000,0.000,0.000,0.000,0.242
1759025342.274906,89.155,opencv,1.729,63.932,0.653,0.979,0.000,0.000,0.000,0.000,0.184
1759025342.359437,83.906,opencv,1.006,59.177,0.658,0.994,0.000,0.000,0.000,0.000,0.195
1759025342.442910,83.985,opencv,1.078,60.511,0.682,1.005,0.000,0.000,0.000,0.000,0.199
1759025342.524732,81.731,opencv,1.186,57.672,0.639,1.000,0.000,0.000,0.000,0.000,0.218
1759025342.610067,85.002,opencv,0.984,60.445,0.683,0.974,0.000,0.000,0.000,0.000,0.194
1759025342.693919,83.090,opencv,0.978,58.279,0.683,1.005,0.000,0.000,0.000,0.000,0.224
1759025342.775118,81.045,opencv,1.044,57.645,0.656,0.997,0.000,0.000,0.000,0.000,0.183
1759025342.859610,84.394,opencv,1.040,59.202,0.748,0.987,0.000,0.000,0.000,0.000,0.148
1759025342.945456,85.713,opencv,1.131,61.001,0.793,0.990,0.000,0.000,0.000,0.000,0.179
1759025343.027655,82.447,opencv,1.087,57.970,0.676,0.979,0.000,0.000,0.000,0.000,0.177
1759025343.179929,152.104,opencv,1.163,59.088,0.738,0.985,0.001,0.002,55.356,0.000,0.259
1759025343.308134,128.468,opencv,1.187,56.995,0.684,0.885,0.030,0.004,55.046,0.000,0.235
1759025343.442786,134.090,opencv,1.110,61.076,0.777,1.014,0.034,0.005,55.201,0.000,0.248
1759025343.574208,131.128,opencv,1.055,61.233,0.684,0.971,0.031,0.004,53.993,0.000,0.251
1759025343.650125,75.836,opencv,1.097,60.046,0.688,0.963,0.031,0.005,0.004,0.000,0.226
1759025343.782319,132.522,opencv,1.053,61.678,0.732,0.979,0.031,0.004,54.299,0.000,0.258
1759025343.858113,75.961,opencv,1.181,59.472,0.625,1.064,0.031,0.005,0.009,0.000,0.227
1759025343.993444,134.889,opencv,0.991,59.510,0.719,1.375,0.033,0.006,58.324,0.000,0.232
1759025344.127872,134.602,opencv,1.206,61.415,0.676,0.991,0.053,0.006,55.817,0.000,0.212
1759025344.201699,72.836,opencv,1.024,57.914,0.647,0.976,0.052,0.006,0.003,0.000,0.225
1759025344.335499,134.622,opencv,0.980,61.009,0.670,1.014,0.062,0.005,57.468,0.000,0.249
1759025344.415401,78.993,opencv,1.089,62.533,0.719,1.085,0.059,0.006,0.004,0.000,0.228
1759025344.546208,130.970,opencv,1.084,59.208,0.689,1.018,0.065,0.006,55.274,0.000,0.259
1759025344.619893,73.609,opencv,0.976,57.859,0.646,0.944,0.060,0.006,0.003,0.000,0.227
1759025344.755425,135.374,opencv,1.092,64.028,0.720,1.046,0.066,0.006,55.041,0.000,0.234
1759025344.834888,78.802,opencv,1.041,62.677,0.707,1.167,0.067,0.006,0.004,0.000,0.230
1759025344.970915,136.395,opencv,1.016,62.967,0.854,1.230,0.087,0.008,56.635,0.000,0.234
1759025345.049356,78.723,opencv,1.030,62.611,0.795,0.954,0.089,0.007,0.003,0.000,0.265
1759025345.181385,131.397,opencv,1.153,60.124,0.724,1.016,0.101,0.007,54.971,0.000,0.234
1759025345.255416,74.420,opencv,1.023,58.581,0.692,1.065,0.091,0.007,0.004,0.000,0.229
1759025345.391583,136.039,opencv,1.072,61.659,0.854,1.044,0.095,0.008,58.152,0.000,0.235
1759025345.523613,131.525,opencv,0.991,60.299,0.694,1.014,0.096,0.008,54.936,0.000,0.261
1759025345.600514,76.582,opencv,1.013,60.191,0.752,1.020,0.094,0.007,0.004,0.000,0.208
1759025345.734888,134.821,opencv,1.348,62.334,0.729,1.014,0.093,0.007,55.837,0.000,0.271
1759025345.814684,79.475,opencv,1.137,63.471,0.691,0.852,0.120,0.009,0.004,0.000,0.208
1759025345.944587,129.758,opencv,1.025,60.191,0.688,1.116,0.111,0.013,53.335,0.000,0.250
1759025346.021633,76.270,opencv,1.545,59.263,0.845,1.162,0.116,0.013,0.004,0.000,0.227
1759025346.154248,133.064,opencv,0.999,61.846,0.792,1.132,0.121,0.013,54.521,0.000,0.251
1759025346.231651,77.289,opencv,1.091,61.834,0.780,1.042,0.122,0.011,0.004,0.000,0.232
1759025346.362239,129.921,opencv,1.322,58.379,0.781,0.994,0.126,0.011,54.996,0.000,0.259
1759025346.438369,76.434,opencv,1.084,60.453,0.602,1.213,0.128,0.014,0.004,0.000,0.231
1759025346.570659,132.420,opencv,1.058,61.373,0.753,1.268,0.142,0.013,55.170,0.000,0.234
1759025346.705412,134.368,opencv,1.076,62.586,0.771,1.039,0.147,0.015,54.996,0.000,0.263
1759025346.785400,79.740,opencv,1.040,63.506,0.691,0.878,0.140,0.010,0.004,0.000,0.246
