ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759018294.752987,45.154,opencv,0.830,0.008,3.140,0.014,0.000,0.000,0.000,0.000,0.298
1759018294.793931,40.346,opencv,1.114,0.010,1.094,0.010,0.000,0.000,0.000,0.000,0.174
1759018294.831226,37.264,opencv,2.547,0.025,1.146,0.010,0.000,0.000,0.000,0.000,0.271
1759018294.870015,38.727,opencv,1.396,0.009,3.269,1.307,0.000,0.000,0.000,0.000,0.316
1759018294.909655,38.888,opencv,1.264,0.007,0.989,0.871,0.000,0.000,0.000,0.000,0.235
1759018294.944320,34.376,opencv,2.231,0.009,1.250,0.874,0.000,0.000,0.000,0.000,0.204
1759018294.980645,36.702,opencv,1.694,0.014,0.779,0.905,0.000,0.000,0.000,0.000,0.191
1759018295.013620,32.626,opencv,1.403,0.008,0.768,0.915,0.000,0.000,0.000,0.000,0.237
1759018295.060468,45.836,opencv,3.229,0.035,1.234,0.798,0.000,0.000,0.000,0.000,0.209
1759018295.098271,37.585,opencv,1.749,0.012,1.328,0.708,0.000,0.000,0.000,0.000,0.397
1759018295.135954,38.185,opencv,1.555,0.008,2.817,1.149,0.000,0.000,0.000,0.000,0.240
1759018295.176054,39.196,opencv,2.051,0.007,1.097,0.867,0.000,0.000,0.000,0.000,0.274
1759018295.213558,37.440,opencv,1.501,0.006,0.910,0.718,0.000,0.000,0.000,0.000,0.241
1759018295.253971,40.231,opencv,1.652,0.013,4.505,0.724,0.000,0.000,0.000,0.000,0.286
1759018295.290869,36.928,opencv,1.302,0.008,0.763,0.730,0.000,0.000,0.000,0.000,0.283
1759018295.327320,36.462,opencv,1.294,0.009,1.071,0.891,0.000,0.000,0.000,0.000,0.261
1759018295.367076,39.071,opencv,2.515,0.019,0.939,0.876,0.000,0.000,0.000,0.000,0.237
1759018295.401514,34.246,opencv,1.537,0.007,1.068,0.574,0.000,0.000,0.000,0.000,0.206
1759018295.436747,35.562,opencv,1.402,0.007,1.111,0.568,0.000,0.000,0.000,0.000,0.208
1759018295.473261,35.954,opencv,2.071,0.014,1.020,0.809,0.000,0.000,0.000,0.000,0.452
1759018295.507682,34.800,opencv,1.287,0.007,1.099,0.763,0.000,0.000,0.000,0.000,0.211
1759018295.542106,34.353,opencv,1.369,0.009,0.967,0.703,0.000,0.000,0.000,0.000,0.234
1759018295.578329,35.747,opencv,1.282,0.006,0.964,0.529,0.000,0.000,0.000,0.000,0.232
1759018295.615632,36.965,opencv,1.517,0.009,1.024,0.549,0.000,0.000,0.000,0.000,0.245
1759018295.654198,39.076,opencv,2.962,0.008,1.081,0.885,0.000,0.000,0.000,0.000,0.228
1759018295.689952,35.257,opencv,1.661,0.009,0.763,0.875,0.000,0.000,0.000,0.000,0.362
1759018295.725115,34.611,opencv,1.317,0.006,0.821,0.923,0.000,0.000,0.000,0.000,0.277
1759018295.764124,39.482,opencv,1.317,0.008,1.145,0.934,0.000,0.000,0.000,0.000,0.301
1759018295.801008,36.172,opencv,1.741,0.008,0.925,0.921,0.000,0.000,0.000,0.000,0.248
1759018295.835326,34.101,opencv,1.443,0.007,1.012,0.880,0.000,0.000,0.000,0.000,0.251
1759018295.870733,35.649,opencv,1.611,0.019,1.585,1.352,0.000,0.000,0.000,0.000,0.234
1759018295.904987,34.199,opencv,1.505,0.006,0.860,0.984,0.000,0.000,0.000,0.000,0.261
1759018295.940485,35.328,opencv,1.539,0.009,1.178,0.996,0.000,0.000,0.000,0.000,0.395
1759018295.979248,37.811,opencv,2.011,0.009,0.742,0.884,0.000,0.000,0.000,0.000,0.284
1759018296.015797,36.963,opencv,1.219,0.007,1.682,1.142,0.000,0.000,0.000,0.000,0.264
1759018296.056960,40.720,opencv,1.857,0.008,1.489,0.969,0.000,0.000,0.000,0.000,0.274
1759018296.092462,35.876,opencv,1.518,0.009,0.842,0.869,0.000,0.000,0.000,0.000,0.232
1759018296.133151,40.199,opencv,1.451,0.010,0.781,0.872,0.000,0.000,0.000,0.000,0.256
1759018296.168085,34.505,opencv,1.628,0.009,0.851,0.534,0.000,0.000,0.000,0.000,0.276
1759018296.202742,34.861,opencv,1.309,0.008,0.937,0.526,0.000,0.000,0.000,0.000,0.260
1759018296.241115,37.733,opencv,1.693,0.011,1.879,0.573,0.000,0.000,0.000,0.000,0.325
1759018296.273723,33.075,opencv,1.514,0.008,0.977,0.573,0.000,0.000,0.000,0.000,0.197
1759018296.313105,39.337,opencv,1.908,0.012,1.570,0.608,0.000,0.000,0.000,0.000,0.227
1759018296.348611,35.300,opencv,1.502,0.006,0.893,0.702,0.000,0.000,0.000,0.000,0.203
1759018296.388406,39.575,opencv,1.500,0.010,1.291,0.747,0.000,0.000,0.000,0.000,0.291
1759018296.424227,35.515,opencv,1.618,0.007,0.855,0.704,0.000,0.000,0.000,0.000,0.277
1759018296.459194,34.729,opencv,1.452,0.008,1.132,0.542,0.000,0.000,0.000,0.000,0.245
1759018296.500009,40.312,opencv,1.689,0.010,1.429,0.557,0.000,0.000,0.000,0.000,0.281
1759018296.530668,30.254,opencv,1.423,0.009,0.729,0.573,0.000,0.000,0.000,0.000,0.211
1759018296.565846,35.480,opencv,1.315,0.007,1.400,0.579,0.000,0.000,0.000,0.000,0.238
1759018296.601638,35.411,opencv,1.513,0.008,0.939,0.538,0.000,0.000,0.000,0.000,0.223
