ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1758721482.611292,108.341,opencv,2.599,67.558,1.263,0.396,0.000,0.000,0.000,0.000,0.167
1758721482.697591,86.226,opencv,2.112,56.247,0.961,0.383,0.000,0.000,0.000,0.000,0.194
1758721482.782420,84.777,opencv,1.019,59.476,0.839,0.362,0.000,0.000,0.000,0.000,0.181
1758721482.867987,85.326,opencv,1.129,59.196,0.768,0.360,0.000,0.000,0.000,0.000,0.182
1758721482.954669,87.572,opencv,1.079,59.212,1.408,0.742,0.000,0.000,0.000,0.000,0.153
1758721483.039443,84.168,opencv,1.259,57.535,0.938,0.574,0.000,0.000,0.000,0.000,0.158
1758721483.127342,87.527,opencv,1.054,59.231,1.278,0.816,0.000,0.000,0.000,0.000,0.174
1758721483.212105,83.921,opencv,0.992,58.190,0.988,0.404,0.000,0.000,0.000,0.000,0.227
1758721483.295604,83.380,opencv,1.251,57.478,0.965,0.310,0.000,0.000,0.000,0.000,0.121
1758721483.378938,82.991,opencv,1.105,57.138,0.943,0.440,0.000,0.000,0.000,0.000,0.174
1758721483.464030,85.133,opencv,1.185,59.010,0.914,0.331,0.000,0.000,0.000,0.000,0.184
1758721483.547257,83.029,opencv,1.087,57.173,0.891,0.479,0.000,0.000,0.000,0.000,0.163
1758721483.631239,84.393,opencv,1.039,56.401,1.251,0.688,0.000,0.000,0.000,0.000,0.163
1758721483.714619,83.610,opencv,1.112,56.963,0.988,0.582,0.000,0.000,0.000,0.000,0.240
1758721483.796219,80.930,opencv,1.199,55.576,0.745,0.011,0.000,0.000,0.000,0.000,0.220
1758721483.880199,83.483,opencv,1.199,56.696,1.338,0.847,0.000,0.000,0.000,0.000,0.212
1758721483.967436,87.993,opencv,1.089,61.318,0.930,0.501,0.000,0.000,0.000,0.000,0.197
1758721484.049465,81.696,opencv,1.067,56.213,0.906,0.009,0.000,0.000,0.000,0.000,0.274
1758721484.133115,83.134,opencv,1.157,56.196,0.938,0.476,0.000,0.000,0.000,0.000,0.179
1758721484.214497,81.577,opencv,1.065,55.590,0.912,0.512,0.000,0.000,0.000,0.000,0.152
1758721484.298448,84.013,opencv,1.102,58.438,0.968,0.663,0.000,0.000,0.000,0.000,0.197
1758721484.380999,82.462,opencv,1.104,56.921,0.937,0.608,0.000,0.000,0.000,0.000,0.148
1758721484.466204,84.275,opencv,1.127,56.397,1.093,0.939,0.000,0.000,0.000,0.000,0.180
1758721484.549911,83.732,opencv,1.230,57.094,1.035,0.874,0.000,0.000,0.000,0.000,0.157
1758721484.633590,83.756,opencv,1.128,57.037,0.983,0.739,0.000,0.000,0.000,0.000,0.149
1758721484.715186,81.678,opencv,1.076,55.672,0.940,0.616,0.000,0.000,0.000,0.000,0.154
1758721484.797878,82.044,opencv,1.069,55.725,0.817,0.426,0.000,0.000,0.000,0.000,0.145
1758721484.880713,82.883,opencv,1.032,57.234,0.923,0.712,0.000,0.000,0.000,0.000,0.139
1758721484.963962,83.081,opencv,1.155,56.895,0.951,0.634,0.000,0.000,0.000,0.000,0.203
1758721485.046874,83.310,opencv,1.109,57.020,0.897,0.889,0.000,0.000,0.000,0.000,0.150
1758721485.132682,85.630,opencv,1.050,59.135,0.975,0.659,0.000,0.000,0.000,0.000,0.150
1758721485.215728,82.874,opencv,1.093,55.840,0.972,1.059,0.000,0.000,0.000,0.000,0.169
1758721485.298979,83.358,opencv,1.246,57.451,0.956,0.706,0.000,0.000,0.000,0.000,0.183
1758721485.382453,83.378,opencv,1.085,57.527,1.025,0.772,0.000,0.000,0.000,0.000,0.165
1758721485.468163,85.403,opencv,1.104,58.310,1.185,0.572,0.000,0.000,0.000,0.000,0.127
1758721485.551501,83.304,opencv,1.124,57.008,0.890,0.645,0.000,0.000,0.000,0.000,0.136
1758721485.633081,81.653,opencv,1.151,55.413,0.812,0.623,0.000,0.000,0.000,0.000,0.128
1758721485.716815,84.149,opencv,1.097,57.862,0.801,0.550,0.000,0.000,0.000,0.000,0.172
