ts,frame_ms,backend,camera_read,pose_infer,draw_camera,draw_pose,draw_rocks,collide,draw_fx,sfx,draw_osd
1759066503.446229,650.691,arcade,0.627,0.009,54.394,0.924,0.017,0.000,0.005,0.000,178.263
1759066503.493442,36.689,arcade,0.725,0.012,2.572,0.351,0.023,0.000,0.007,0.000,9.082
1759066503.530072,34.396,arcade,0.997,0.025,3.411,0.414,0.014,0.000,0.003,0.000,7.698
1759066503.563664,32.275,arcade,0.663,0.004,1.835,0.335,0.012,0.000,0.003,0.000,7.499
1759066503.597738,33.747,arcade,0.684,0.005,1.498,0.449,0.015,0.000,0.005,0.000,9.697
1759066503.628326,30.036,arcade,0.641,0.004,1.536,0.275,0.009,0.000,0.003,0.000,6.662
1759066503.661391,32.064,arcade,0.667,0.006,1.609,0.270,0.008,0.000,0.003,0.000,8.690
1759066503.689455,27.780,arcade,0.696,0.005,1.372,0.289,0.009,0.000,0.003,0.000,4.785
1759066503.721105,32.181,arcade,0.603,0.004,1.616,0.330,0.015,0.000,0.005,0.000,6.674
1759066503.750364,28.372,arcade,0.782,0.007,2.728,0.276,0.008,0.000,0.003,0.000,5.974
1759066503.777676,26.779,arcade,0.596,0.003,1.258,0.483,0.009,0.000,0.003,0.000,3.890
1759066503.810823,32.134,arcade,0.710,0.005,1.753,0.339,0.009,0.000,0.003,0.000,7.314
1759066503.836958,26.443,arcade,0.749,0.007,1.192,0.253,0.007,0.000,0.002,0.000,3.736
1759066503.867067,29.297,arcade,0.782,0.005,1.621,0.550,0.009,0.000,0.003,0.000,6.070
1759066503.895685,28.450,arcade,0.622,0.006,2.891,0.292,0.010,0.000,0.003,0.000,5.687
1759066503.921217,25.069,arcade,0.572,0.003,1.248,0.335,0.009,0.000,0.003,0.000,3.767
1759066503.955713,33.689,arcade,1.257,0.015,1.256,0.318,0.007,0.000,0.003,0.000,7.458
1759066503.982302,25.169,arcade,0.623,0.005,1.199,0.265,0.009,0.000,0.002,0.000,3.576
1759066504.010517,27.581,arcade,0.704,0.004,1.731,0.462,0.019,0.000,0.006,0.000,5.581
1759066504.040570,29.464,arcade,0.650,0.003,2.837,0.517,0.012,0.000,0.004,0.000,5.450
1759066504.067199,27.320,arcade,0.620,0.004,1.454,0.330,0.010,0.000,0.003,0.000,4.204
1759066504.095724,26.807,arcade,0.703,0.006,1.597,0.292,0.008,0.000,0.002,0.000,3.937
1759066504.124281,27.654,arcade,1.206,0.004,1.742,0.507,0.020,0.000,0.008,0.000,4.319
1759066504.153363,29.020,arcade,0.701,0.004,1.303,0.293,0.008,0.000,0.005,0.000,3.529
1759066504.185087,31.333,arcade,0.650,0.005,1.599,0.323,0.009,0.000,0.003,0.000,3.783
1759066504.214661,29.132,arcade,0.708,0.005,1.527,0.375,0.015,0.000,0.005,0.000,3.433
1759066504.244221,28.788,arcade,0.610,0.004,1.494,0.414,0.015,0.000,0.004,0.000,4.510
1759066504.274307,30.195,arcade,0.664,0.005,3.274,0.317,0.009,0.000,0.003,0.000,4.444
1759066504.302354,27.593,arcade,0.673,0.004,1.325,0.291,0.009,0.000,0.003,0.000,3.739
1759066504.332433,29.214,arcade,0.644,0.005,2.776,0.644,0.023,0.000,0.005,0.000,4.048
1759066504.362999,28.459,arcade,2.085,0.006,1.694,0.312,0.010,0.000,0.003,0.000,2.999
1759066504.390043,26.346,arcade,0.744,0.006,1.450,0.318,0.008,0.000,0.003,0.000,3.902
1759066504.419640,29.338,arcade,0.740,0.005,4.207,0.495,0.014,0.000,0.004,0.000,3.963
1759066504.447696,28.103,arcade,0.622,0.004,1.783,0.291,0.009,0.000,0.003,0.000,3.928
1759066504.476793,28.493,arcade,0.652,0.004,2.758,0.304,0.013,0.000,0.005,0.000,4.761
1759066504.504835,27.671,arcade,0.655,0.005,2.752,0.385,0.018,0.000,0.006,0.000,4.968
1759066504.532401,27.146,arcade,0.620,0.004,1.436,0.354,0.008,0.000,0.003,0.000,3.778
1759066504.560596,27.093,arcade,0.679,0.004,1.619,0.508,0.010,0.000,0.004,0.000,3.795
1759066504.591661,31.040,arcade,0.810,0.006,1.423,0.311,0.010,0.000,0.003,0.000,4.434
1759066504.623784,31.037,arcade,0.989,0.007,1.451,0.297,0.008,0.000,0.003,0.000,3.799
1759066504.653333,29.069,arcade,0.697,0.004,1.921,0.502,0.017,0.000,0.006,0.000,3.877
1759066504.683441,28.102,arcade,0.678,0.006,1.290,0.299,0.011,0.000,0.004,0.000,3.842
1759066504.711017,27.478,arcade,0.633,0.004,1.303,0.289,0.008,0.000,0.003,0.000,4.320
1759066504.741107,29.430,arcade,0.767,0.006,2.978,0.263,0.009,0.000,0.003,0.000,3.669
1759066504.768821,27.191,arcade,0.685,0.004,1.690,0.302,0.008,0.000,0.002,0.000,2.921
1759066504.797900,28.187,arcade,0.705,0.004,1.719,0.375,0.009,0.000,0.004,0.000,4.500
1759066504.826616,28.540,arcade,0.630,0.004,1.656,0.369,0.014,0.000,0.004,0.000,4.431
1759066504.858195,31.648,arcade,0.654,0.005,1.685,0.303,4.362,0.000,0.004,0.000,3.889
1759066504.885259,26.480,arcade,0.727,0.005,1.492,0.279,0.338,0.000,0.004,0.000,4.285
1759066504.912801,26.588,arcade,0.664,0.005,3.163,0.338,0.332,0.000,0.004,0.000,3.888
1759066504.939848,26.295,arcade,0.728,0.005,1.512,0.296,0.223,0.000,0.004,0.000,3.624
1759066504.968133,28.143,arcade,0.607,0.004,2.268,0.450,0.704,0.000,0.004,0.000,5.420
1759066504.995329,27.204,arcade,0.616,0.004,2.877,0.368,0.305,0.000,0.004,0.000,4.674
1759066505.022507,25.928,arcade,0.687,0.004,1.510,0.411,0.359,0.000,0.004,0.000,3.990
1759066505.052599,30.217,arcade,0.719,0.005,2.051,0.449,0.294,0.000,0.003,0.000,4.295
1759066505.080164,26.867,arcade,0.655,0.004,1.843,0.341,0.283,0.000,0.004,0.000,3.865
1759066505.108769,27.806,arcade,0.629,0.004,1.958,0.402,0.231,0.000,0.003,0.000,3.699
1759066505.135875,26.717,arcade,0.679,0.005,1.930,0.397,0.332,0.000,0.004,0.000,3.790
1759066505.163998,28.168,arcade,0.653,0.005,1.338,0.447,0.328,0.000,0.004,0.000,4.669
1759066505.191694,26.489,arcade,0.602,0.004,1.438,0.505,0.475,0.000,0.006,0.000,4.620
1759066505.220376,27.973,arcade,0.834,0.005,1.848,0.309,0.234,0.000,0.003,0.000,3.817
1759066505.245269,25.000,arcade,0.659,0.004,1.226,0.298,0.320,0.000,0.003,0.000,3.737
1759066505.273327,27.350,arcade,0.682,0.006,2.335,0.924,0.254,0.000,0.003,0.000,3.886
1759066505.298381,24.692,arcade,0.599,0.004,1.744,0.426,0.404,0.000,0.005,0.000,3.219
1759066505.328944,29.046,arcade,0.865,0.007,3.370,0.363,0.310,0.000,0.003,0.000,4.462
1759066505.355010,25.590,arcade,0.701,0.004,1.258,0.269,0.187,0.000,0.003,0.000,3.826
1759066505.384081,28.498,arcade,1.017,0.005,1.738,0.362,0.299,0.000,0.005,0.000,4.271
1759066505.409634,25.928,arcade,0.596,0.015,3.999,0.370,0.389,0.000,0.005,0.000,4.313
1759066505.437686,26.974,arcade,0.638,0.004,1.492,0.331,0.331,0.000,0.005,0.000,4.272
1759066505.466406,28.556,arcade,0.642,0.004,3.148,0.366,0.278,0.000,0.003,0.000,3.589
1759066505.493468,26.944,arcade,0.937,0.007,1.677,0.339,0.317,0.000,0.006,0.000,4.959
1759066505.520535,25.968,arcade,0.613,0.004,2.213,0.509,0.276,0.000,0.005,0.000,3.714
1759066505.547672,27.236,arcade,0.659,0.004,1.661,0.402,0.385,0.000,0.004,0.000,5.052
1759066505.575731,26.996,arcade,0.690,0.006,2.778,0.315,0.291,0.000,0.004,0.000,4.256
1759066505.602340,26.507,arcade,0.639,0.005,1.360,0.306,0.223,0.000,0.003,0.000,3.670
1759066505.629406,26.834,arcade,0.707,0.004,1.542,0.421,0.366,0.000,0.006,0.000,4.609
1759066505.658505,28.330,arcade,0.666,0.004,3.641,0.502,1.677,0.000,0.003,0.000,3.075
1759066505.686701,27.707,arcade,0.712,0.005,1.245,0.349,0.222,0.000,0.004,0.000,4.553
1759066505.714336,27.788,arcade,0.717,0.004,1.632,0.350,0.338,0.000,0.004,0.000,4.377
1759066505.740865,26.102,arcade,0.651,0.004,4.578,0.308,0.250,0.000,0.004,0.000,3.233
1759066505.770940,29.251,arcade,0.714,0.005,2.273,0.363,0.323,0.000,0.003,0.000,4.294
1759066505.801028,28.625,arcade,0.625,0.006,1.849,0.402,0.485,0.000,0.010,0.000,5.522
1759066505.839021,37.993,arcade,0.635,0.004,3.828,0.448,0.305,0.000,0.004,0.000,14.304
1759066505.866776,27.530,arcade,0.621,0.004,2.147,0.463,0.334,0.000,0.003,0.000,4.188
1759066505.896805,29.712,arcade,0.659,0.005,3.207,0.599,2.652,0.000,0.003,0.000,4.334
1759066505.924864,27.265,arcade,0.704,0.006,1.513,0.335,0.238,0.000,0.004,0.000,5.083
1759066505.951416,26.149,arcade,0.769,0.005,1.569,0.370,0.288,0.000,0.004,0.000,4.404
1759066505.979983,28.427,arcade,0.680,0.005,1.526,0.268,0.287,0.000,0.002,0.000,4.258
1759066506.008567,27.371,arcade,1.062,0.007,1.490,0.301,0.234,0.000,0.003,0.000,4.180
1759066506.035678,26.517,arcade,0.634,0.004,1.704,0.427,0.349,0.000,0.004,0.000,4.829
1759066506.061198,24.785,arcade,0.658,0.004,1.285,0.313,0.264,0.000,0.004,0.000,4.143
1759066506.089715,27.756,arcade,0.712,0.004,1.584,0.304,0.231,0.000,0.003,0.000,3.657
1759066506.123869,34.329,arcade,0.602,0.004,1.259,0.277,0.251,0.000,0.003,0.000,6.424
1759066506.149441,24.287,arcade,0.722,0.006,1.655,0.335,0.217,0.000,0.003,0.000,3.821
1759066506.176536,27.004,arcade,0.609,0.004,1.324,0.304,0.242,0.000,0.003,0.000,5.669
1759066506.210141,32.970,arcade,1.439,0.017,2.995,0.514,0.467,0.000,0.008,0.000,5.016
1759066506.240218,28.761,arcade,1.460,0.008,1.687,0.436,0.341,0.000,0.004,0.000,4.550
1759066506.270262,29.732,arcade,0.718,0.011,2.404,0.517,0.446,0.000,0.007,0.000,4.995
1759066506.302367,31.828,arcade,0.795,0.007,2.887,0.431,0.423,0.000,0.005,0.000,4.870
1759066506.333856,31.351,arcade,0.847,0.006,1.719,0.494,0.320,0.000,0.004,0.000,5.083
1759066506.365083,30.271,arcade,0.759,0.008,1.763,0.368,0.294,0.000,0.004,0.000,4.736
1759066506.396161,30.417,arcade,1.356,0.004,1.838,0.536,0.385,0.000,0.006,0.000,5.415
1759066506.425714,29.373,arcade,0.816,0.008,1.683,0.407,0.317,0.000,0.003,0.000,4.812
1759066506.454364,28.545,arcade,0.825,0.006,1.915,0.742,0.481,0.000,0.004,0.000,3.750
1759066506.489215,34.397,arcade,0.697,0.005,3.224,0.395,2.945,0.000,0.004,0.000,3.883
1759066506.522391,32.539,arcade,0.704,0.005,1.504,0.379,0.358,0.000,0.006,0.000,4.471
1759066506.555701,32.755,arcade,0.996,0.007,1.642,0.366,0.362,0.000,0.005,0.000,8.011
1759066506.633898,78.225,arcade,0.853,0.006,2.042,0.318,0.350,0.000,3.636,0.000,4.079
1759066506.666407,31.495,arcade,0.703,0.005,1.501,0.329,0.515,0.000,3.831,0.000,4.267
1759066506.700482,33.448,arcade,0.688,0.005,1.707,0.312,0.631,0.000,3.893,0.000,5.804
1759066506.733067,32.087,arcade,0.737,0.005,1.909,0.325,0.311,0.000,2.924,0.000,3.542
1759066506.761630,28.511,arcade,0.612,0.004,1.847,0.518,0.528,0.000,3.510,0.000,2.907
1759066506.794785,32.226,arcade,0.683,0.005,3.537,0.334,0.405,0.000,2.935,0.000,4.190
1759066506.832854,37.569,arcade,0.592,0.004,1.489,0.250,0.355,0.000,2.890,0.000,9.880
1759066506.866080,32.864,arcade,0.673,0.007,2.996,0.345,0.551,0.000,3.118,0.000,4.261
1759066506.898226,31.131,arcade,1.060,0.009,1.767,0.304,0.195,0.000,3.311,0.000,4.058
1759066506.933872,35.706,arcade,1.677,0.011,1.686,0.305,0.295,0.000,6.705,0.000,4.885
1759066506.963927,29.123,arcade,0.649,0.005,1.496,0.337,0.247,0.000,2.638,0.000,4.373
1759066506.996099,31.441,arcade,0.946,0.005,1.337,0.281,0.238,0.000,2.205,0.000,7.281
1759066507.026860,30.110,arcade,0.685,0.005,1.268,0.623,0.255,0.000,2.076,0.000,4.156
1759066507.055927,28.465,arcade,0.787,0.004,1.407,0.391,0.313,0.000,1.878,0.000,4.263
1759066507.086996,30.556,arcade,0.676,0.004,2.808,0.459,0.421,0.000,2.312,0.000,4.344
1759066507.118069,30.103,arcade,0.634,0.005,1.257,0.390,0.524,0.000,1.192,0.000,3.495
1759066507.152663,33.389,arcade,0.685,0.007,1.485,0.363,0.258,0.000,0.774,0.000,6.811
1759066507.180238,27.391,arcade,0.679,0.005,1.345,0.306,0.282,0.000,0.688,0.000,3.926
1759066507.210916,30.367,arcade,0.660,0.004,2.542,0.750,0.498,0.000,0.616,0.000,5.452
1759066507.240992,29.216,arcade,0.721,0.005,1.670,0.429,0.561,0.000,0.292,0.000,4.881
1759066507.269673,27.933,arcade,0.674,0.005,1.511,0.325,0.227,0.000,0.003,0.000,4.697
1759066507.299757,29.668,arcade,0.664,0.004,1.963,0.823,1.958,0.000,0.003,0.000,3.676
1759066507.330696,30.321,arcade,0.863,0.008,1.404,0.358,0.511,0.000,0.004,0.000,4.112
1759066507.358548,26.353,arcade,0.870,0.009,1.572,0.306,0.238,0.000,0.004,0.000,3.370
1759066507.386152,27.064,arcade,0.698,0.007,1.511,0.518,0.262,0.000,0.004,0.000,4.294
1759066507.413892,27.862,arcade,0.694,0.005,3.035,0.325,0.241,0.000,0.003,0.000,4.313
1759066507.441441,26.860,arcade,0.621,0.004,1.953,0.365,0.327,0.000,0.003,0.000,3.765
1759066507.469522,28.322,arcade,0.687,0.006,2.287,0.817,0.316,0.000,0.005,0.000,4.345
1759066507.499632,28.989,arcade,0.628,0.004,4.130,0.386,0.298,0.000,0.004,0.000,4.314
1759066507.526210,26.373,arcade,0.783,0.006,1.525,0.324,0.220,0.000,0.003,0.000,4.147
1759066507.554287,27.089,arcade,0.648,0.005,1.921,0.609,0.365,0.000,0.003,0.000,4.393
1759066507.585389,30.886,arcade,0.678,0.005,1.461,0.471,0.399,0.000,0.005,0.000,5.196
1759066507.611445,25.752,arcade,0.820,0.008,1.505,0.341,0.219,0.000,0.004,0.000,3.661
1759066507.640478,28.272,arcade,0.643,0.005,1.526,0.348,0.308,0.000,0.004,0.000,5.696
1759066507.667552,27.037,arcade,0.670,0.004,3.528,0.339,0.287,0.000,0.004,0.000,3.443
1759066507.697616,28.812,arcade,0.972,0.004,1.690,0.844,0.263,0.000,0.003,0.000,3.913
1759066507.724210,26.582,arcade,0.725,0.005,1.896,0.498,0.288,0.000,0.005,0.000,4.313
1759066507.752602,27.130,arcade,0.642,0.005,2.980,0.775,0.375,0.000,0.004,0.000,3.900
1759066507.777485,25.363,arcade,0.776,0.004,1.499,0.261,0.216,0.000,0.002,0.000,3.421
1759066507.816138,37.966,arcade,0.661,0.005,2.110,0.372,0.353,0.000,0.004,0.000,14.188
1759066507.844388,27.223,arcade,0.711,0.006,1.420,0.391,0.236,0.000,0.003,0.000,4.557
1759066507.869919,25.516,arcade,0.631,0.004,1.536,0.318,0.337,0.000,0.004,0.000,4.319
1759066507.896994,26.897,arcade,0.723,0.006,4.118,0.671,0.258,0.000,0.003,0.000,3.641
1759066507.921038,23.845,arcade,0.631,0.004,1.498,0.380,0.255,0.000,0.004,0.000,3.835
1759066507.949149,27.102,arcade,0.661,0.005,1.801,0.402,0.323,0.000,0.004,0.000,4.718
1759066507.994439,45.042,arcade,0.683,0.004,3.133,0.287,0.290,0.000,0.004,0.000,3.330
1759066508.021012,25.945,arcade,0.723,0.005,1.470,0.316,0.249,0.000,0.004,0.000,3.433
1759066508.048990,27.018,arcade,0.646,0.005,1.749,0.384,0.302,0.000,0.004,0.000,4.288
1759066508.076130,26.835,arcade,0.672,0.004,3.235,0.391,0.342,0.000,0.005,0.000,4.573
